"lakename","year4","daynum","sampledate","depth","tn_ug","tp_ug","dissolvedOxygen"
"Peter Lake",1993,181,1993-06-30,12,585.342,42.376,0
"Paul Lake",1993,182,1993-07-01,0,395.482,9.072,7.8
"Paul Lake",1993,182,1993-07-01,1.5,403.968,11.439,8.1
"Paul Lake",1993,182,1993-07-01,4,412.678,11.067,12.5
"Paul Lake",1993,182,1993-07-01,8,806.629,51.547,0
"East Long Lake",1993,186,1993-07-05,0,639.126,40.998,9
"East Long Lake",1993,186,1993-07-05,12,1162,141.03,0
"West Long Lake",1993,187,1993-07-06,0,650.1,19.323,8.4
"West Long Lake",1993,187,1993-07-06,12,605.178,74.935,0
"Peter Lake",1993,188,1993-07-07,0,490.47,30.955,10.7
"Peter Lake",1993,188,1993-07-07,0.5,607.275,27.937,11.7
"Peter Lake",1993,188,1993-07-07,2.5,481.664,30.128,15.4
"Peter Lake",1993,188,1993-07-07,12,502.468,39.135,0.5
"Paul Lake",1993,189,1993-07-08,0,351.827,11.953,7.9
"Paul Lake",1993,189,1993-07-08,4,323.409,11.956,12.3
"Paul Lake",1993,189,1993-07-08,8,716.122,42.198,1.1
"Tuesday Lake",1993,190,1993-07-09,0,392.735,9.852,8.5
"Tuesday Lake",1993,190,1993-07-09,11,1024,34.638,0.8
"East Long Lake",1993,193,1993-07-12,0,673.619,32.354,8.5
"East Long Lake",1993,193,1993-07-12,1.5,578.613,31.245,8.5
"East Long Lake",1993,193,1993-07-12,12,1090,158.031,0.6
"West Long Lake",1993,194,1993-07-13,0,498.17,27.204,8.6
"West Long Lake",1993,194,1993-07-13,12,639.621,77.222,0.4
"Peter Lake",1993,195,1993-07-14,0,707.771,30.733,10.2
"Peter Lake",1993,195,1993-07-14,2.5,839.904,42.308,13.3
"Peter Lake",1993,195,1993-07-14,12,580.418,37.575,0.3
"Paul Lake",1993,196,1993-07-15,0,298.448,11.073,7.8
"Paul Lake",1993,196,1993-07-15,3,204.896,7.117,8.8
"Paul Lake",1993,196,1993-07-15,8,949.851,62.966,0.3
"East Long Lake",1993,200,1993-07-19,0,762.198,35.17,8.9
"East Long Lake",1993,200,1993-07-19,1.5,892.628,33.539,6.3
"East Long Lake",1993,200,1993-07-19,12,1329,136.805,0.1
"West Long Lake",1993,201,1993-07-20,0,605.288,18.349,8.7
"West Long Lake",1993,201,1993-07-20,12,703.133,88.594,0.1
"Peter Lake",1993,202,1993-07-21,0,395.31,23.143,8.7
"Peter Lake",1993,202,1993-07-21,12,865.418,49.12,0.1
"Paul Lake",1993,203,1993-07-22,0,345.66,8.689,7.4
"Paul Lake",1993,203,1993-07-22,8,1220.84,63.681,0.1
"East Long Lake",1993,207,1993-07-26,0,762.998,29.006,6.2
"East Long Lake",1993,207,1993-07-26,1.5,733.079,28.334,3.2
"East Long Lake",1993,207,1993-07-26,12,1566.092,160.938,0
"West Long Lake",1993,208,1993-07-27,0,695.265,34.115,9.3
"West Long Lake",1993,208,1993-07-27,12,1023.953,103.178,0.1
"Peter Lake",1993,209,1993-07-28,0,352.001,27.056,8.1
"Peter Lake",1993,209,1993-07-28,12,801.505,44.974,0.1
"Paul Lake",1993,210,1993-07-29,0,281.421,7.108,7.9
"Paul Lake",1993,210,1993-07-29,3,324.705,8.119,8.7
"East Long Lake",1993,214,1993-08-02,0,895.54,23.416,6.8
"East Long Lake",1993,214,1993-08-02,12,1329.819,141.397,0.1
"West Long Lake",1993,215,1993-08-03,0,781.871,32.812,8.6
"West Long Lake",1993,215,1993-08-03,12,1023.04,92.754,0.1
"Peter Lake",1993,216,1993-08-04,0,641.684,21.373,9
"Peter Lake",1993,216,1993-08-04,12,937.538,46.801,0.1
"Paul Lake",1993,217,1993-08-05,0,298.507,9.888,7.8
"Paul Lake",1993,217,1993-08-05,8,1169.866,53.275,0.1
"Tuesday Lake",1993,218,1993-08-06,0,357.603,10.958,7.5
"East Long Lake",1993,221,1993-08-09,0,819.938,23.238,8.3
"East Long Lake",1993,221,1993-08-09,12,1500.714,164.077,0.1
"West Long Lake",1993,222,1993-08-10,0,775.41,15.545,10
"West Long Lake",1993,222,1993-08-10,12,1050.814,111.768,0.1
"Peter Lake",1993,223,1993-08-11,0,517.016,25.603,9.5
"Peter Lake",1993,223,1993-08-11,12,910.359,45.895,0.2
"Paul Lake",1993,224,1993-08-12,0,187.672,11.542,8.4
"Paul Lake",1993,224,1993-08-12,4.5,205.822,9.822,10.9
"Paul Lake",1993,224,1993-08-12,8,909.047,44.662,0.2
"East Long Lake",1993,228,1993-08-16,0,753.194,29.176,7.8
"East Long Lake",1993,228,1993-08-16,12,1364.923,132.957,0.2
"West Long Lake",1993,229,1993-08-17,0,938.649,29.394,8.2
"West Long Lake",1993,229,1993-08-17,12,1186.13,107.6,0.1
"Peter Lake",1993,230,1993-08-18,0,513.473,21.112,9.4
"Peter Lake",1993,230,1993-08-18,12,1042.381,55.865,0.3
"Paul Lake",1993,231,1993-08-19,0,171.015,10.257,8.1
"Paul Lake",1993,231,1993-08-19,8,1718.861,63.167,0.3
"Tuesday Lake",1993,232,1993-08-20,0,258.744,9.723,7.7
"East Long Lake",1993,235,1993-08-23,0,549.719,20.929,8.1
"East Long Lake",1993,235,1993-08-23,12,1749.642,156.012,0.3
"West Long Lake",1993,236,1993-08-24,0,826.533,21.007,8.9
"West Long Lake",1993,236,1993-08-24,3.5,922.719,18.028,7.1
"West Long Lake",1993,236,1993-08-24,12,1220.544,118.326,0.3
"Peter Lake",1993,237,1993-08-25,0,465.333,18.787,9.7
"Peter Lake",1993,237,1993-08-25,12,1065.11,57.082,0.3
"Paul Lake",1993,238,1993-08-26,0,163.148,7.732,8.3
"Paul Lake",1993,238,1993-08-26,8,1257.741,55.203,0.3
"East Long Lake",1993,242,1993-08-30,0,621.891,30.197,8.6
"East Long Lake",1993,242,1993-08-30,12,1611.26,161.76,0.3
"West Long Lake",1993,242,1993-08-30,0,959,31.951,8.6
"West Long Lake",1993,242,1993-08-30,12,1133.267,114.256,0.1
"Paul Lake",1993,243,1993-08-31,0,277.235,11.321,7.4
"Paul Lake",1993,243,1993-08-31,8,1162.916,45.556,0.2
"Peter Lake",1993,243,1993-08-31,0,448.049,18.417,9
"Peter Lake",1993,243,1993-08-31,12,1157.654,60.082,0.3
"Tuesday Lake",1993,246,1993-09-03,0,407.098,10.545,7.3
"East Long Lake",1993,249,1993-09-06,0,915.298,24.736,7.3
"East Long Lake",1993,249,1993-09-06,12,1569.369,141.787,0.3
"West Long Lake",1993,249,1993-09-06,0,1066,31.752,9.9
"West Long Lake",1993,249,1993-09-06,12,1283.558,138.922,0.3
"Paul Lake",1993,250,1993-09-07,0,223.799,11.671,8.2
"Paul Lake",1993,250,1993-09-07,8,948,56.314,0.3
"Peter Lake",1993,250,1993-09-07,0,420.378,20.819,10.3
"Peter Lake",1993,250,1993-09-07,3,423.221,24.763,10.1
"Peter Lake",1993,250,1993-09-07,12,957.431,52.796,0.3
"East Long Lake",1994,137,1994-05-17,0,651.3,9.089,10.5
"Paul Lake",1994,137,1994-05-17,0,342.109,13.08,9.1
"Paul Lake",1994,137,1994-05-17,3,380.375,18.553,11.4
"Peter Lake",1994,137,1994-05-17,0,354.859,10.887,10
"West Long Lake",1994,137,1994-05-17,0,525.264,22.991,10.9
"East Long Lake",1994,143,1994-05-23,0,611.282,19.669,9.1
"East Long Lake",1994,143,1994-05-23,12,1371.33,159.332,0.5
"West Long Lake",1994,144,1994-05-24,12,1394.363,50.298,0.4
"Peter Lake",1994,145,1994-05-25,0,460.791,14.504,10.4
"Peter Lake",1994,145,1994-05-25,12,1513.604,75.821,0.4
"Paul Lake",1994,146,1994-05-26,0,417.345,17.09,8.3
"Paul Lake",1994,146,1994-05-26,9,1244.675,50.4,0.3
"East Long Lake",1994,150,1994-05-30,0,521.864,21.013,9.5
"East Long Lake",1994,150,1994-05-30,1.5,539.556,22.283,10.4
"East Long Lake",1994,150,1994-05-30,12,1525.001,171.798,0.4
"West Long Lake",1994,151,1994-05-31,0,424.086,13.914,8.5
"West Long Lake",1994,151,1994-05-31,12,1435.654,51.322,0.3
"Peter Lake",1994,152,1994-06-01,0,379.781,12.581,10.1
"Peter Lake",1994,152,1994-06-01,2,558.477,12.372,9.9
"Peter Lake",1994,152,1994-06-01,12,1648.857,75.548,0.5
"Paul Lake",1994,153,1994-06-02,0,373.899,16.41,8.6
"Paul Lake",1994,153,1994-06-02,1.5,398.304,17.11,8.3
"Paul Lake",1994,153,1994-06-02,2.5,553.044,13.509,10.1
"Paul Lake",1994,153,1994-06-02,3.5,416.051,45.613,11.4
"Paul Lake",1994,153,1994-06-02,9,1313.951,44.043,0.3
"Tuesday Lake",1994,154,1994-06-03,1,473.329,12.4,9.4
"Tuesday Lake",1994,154,1994-06-03,3.5,436.606,12.413,9.5
"East Long Lake",1994,157,1994-06-06,0,734.455,26.585,9.6
"East Long Lake",1994,157,1994-06-06,12,1452.633,157.178,0.5
"West Long Lake",1994,158,1994-06-07,0,516.421,11.258,9.1
"West Long Lake",1994,158,1994-06-07,12,1606.097,59.585,0.4
"Peter Lake",1994,159,1994-06-08,0,509.244,16.359,9.2
"Peter Lake",1994,159,1994-06-08,3,536.774,15.026,11.9
"Peter Lake",1994,159,1994-06-08,12,1512.184,78.349,0.2
"Paul Lake",1994,160,1994-06-09,0,437.168,16.697,8.9
"Paul Lake",1994,160,1994-06-09,2.5,475.363,24.521,9.6
"East Long Lake",1994,164,1994-06-13,0,645.865,13.854,8.6
"East Long Lake",1994,164,1994-06-13,12,1528.852,159.311,0.3
"West Long Lake",1994,165,1994-06-14,0,617.945,12.45,9.1
"West Long Lake",1994,165,1994-06-14,3,911.672,33.895,10
"West Long Lake",1994,165,1994-06-14,12,1611.227,69.688,0.4
"Peter Lake",1994,166,1994-06-15,0,477.839,15.346,8.8
"Peter Lake",1994,166,1994-06-15,12,1785.819,111.085,0.3
"Paul Lake",1994,167,1994-06-16,0,423.307,13.946,8.1
"Paul Lake",1994,167,1994-06-16,9,1329.074,44.39,0.4
"Tuesday Lake",1994,168,1994-06-17,0,442.174,14.954,8.1
"East Long Lake",1994,171,1994-06-20,0,618.325,20.885,8
"East Long Lake",1994,171,1994-06-20,12,1479.031,162.445,0.4
"West Long Lake",1994,172,1994-06-21,0,639.792,18.934,8.8
"West Long Lake",1994,172,1994-06-21,12,1559.297,76.745,0.4
"Peter Lake",1994,173,1994-06-22,0,480.66,19.304,8.6
"Peter Lake",1994,173,1994-06-22,12,1556.415,85.414,0.2
"Paul Lake",1994,174,1994-06-23,0,422.934,10.605,7.4
"Paul Lake",1994,174,1994-06-23,9,1399.296,56.921,0.5
"East Long Lake",1994,178,1994-06-27,0,676.4,19.004,8
"East Long Lake",1994,178,1994-06-27,12,1514.152,157.316,0.9
"West Long Lake",1994,179,1994-06-28,0,851.832,22.825,7.7
"West Long Lake",1994,179,1994-06-28,12,1620.486,84.897,0.8
"Peter Lake",1994,180,1994-06-29,0,609.005,24.788,8.7
"Peter Lake",1994,180,1994-06-29,12,1660.284,91.887,1.1
"Paul Lake",1994,181,1994-06-30,0,439.984,15.738,6.7
"Paul Lake",1994,181,1994-06-30,9,1206.58,56.967,0.8
"Tuesday Lake",1994,182,1994-07-01,0,544.695,15.675,8.3
"East Long Lake",1994,185,1994-07-04,1,868.173,36.249,9.3
"East Long Lake",1994,185,1994-07-04,12,1556.896,194.655,0.6
"West Long Lake",1994,186,1994-07-05,0,988.47,27.763,8.7
"West Long Lake",1994,186,1994-07-05,12,1679.115,118.176,0.6
"Peter Lake",1994,187,1994-07-06,0,571.092,24.207,8.8
"Peter Lake",1994,187,1994-07-06,12,1993.954,138.781,0.6
"Paul Lake",1994,188,1994-07-07,0,412.669,21.763,7.8
"Paul Lake",1994,188,1994-07-07,9,1266.45,43.471,0.8
"East Long Lake",1994,192,1994-07-11,0,907.7,24.693,9.2
"East Long Lake",1994,192,1994-07-11,12,1616.875,166.582,0.4
"West Long Lake",1994,193,1994-07-12,0,957.919,16.83,8.8
"West Long Lake",1994,193,1994-07-12,2.5,742.818,13.923,8.3
"West Long Lake",1994,193,1994-07-12,12,1658.887,88.355,0.4
"Peter Lake",1994,194,1994-07-13,0,746.728,19.149,10.5
"Peter Lake",1994,194,1994-07-13,12,1749.082,73.676,0.7
"Paul Lake",1994,195,1994-07-14,0,402.942,4.501,7.5
"Paul Lake",1994,195,1994-07-14,9,1512.176,53.308,0.5
"Tuesday Lake",1994,196,1994-07-15,0,450.242,14.502,8
"East Long Lake",1994,199,1994-07-18,0,880.044,21.491,7.6
"East Long Lake",1994,199,1994-07-18,1,1338.483,22.746,7.4
"East Long Lake",1994,199,1994-07-18,12,1707.908,153.703,0.4
"West Long Lake",1994,200,1994-07-19,0,1161.23,20.22,8.6
"West Long Lake",1994,200,1994-07-19,12,1846.221,106.062,0.4
"Peter Lake",1994,201,1994-07-20,0,699.476,23.381,11.1
"Peter Lake",1994,201,1994-07-20,12,1791.754,79.531,0.4
"Paul Lake",1994,202,1994-07-21,0,387.608,11.473,8.2
"Paul Lake",1994,202,1994-07-21,9,1230.419,56.775,0.5
"East Long Lake",1994,206,1994-07-25,0,815.852,15.436,7
"East Long Lake",1994,206,1994-07-25,12,1668.026,179.919,0.4
"West Long Lake",1994,207,1994-07-26,0,991.104,20.54,8.9
"West Long Lake",1994,207,1994-07-26,12,1796.828,118.343,0.3
"Peter Lake",1994,208,1994-07-27,0,779.086,21.692,10
"Peter Lake",1994,208,1994-07-27,12,1677.711,80.488,0.4
"Paul Lake",1994,209,1994-07-28,0,375.783,7.527,7.6
"Paul Lake",1994,209,1994-07-28,9,1746.028,86.729,0.4
"Tuesday Lake",1994,210,1994-07-29,0,464.449,15.546,8.1
"East Long Lake",1994,213,1994-08-01,0,876.195,20.045,7.8
"East Long Lake",1994,213,1994-08-01,12,1662.385,175.4,0.3
"West Long Lake",1994,214,1994-08-02,0,1250.195,23.625,8.7
"West Long Lake",1994,214,1994-08-02,12,1857.93,123.402,0.3
"Peter Lake",1994,215,1994-08-03,0,814.424,24.463,11.3
"Peter Lake",1994,215,1994-08-03,12,2112.138,120.402,0.3
"Paul Lake",1994,216,1994-08-04,0,499.251,9.512,7.6
"East Long Lake",1994,220,1994-08-08,0,977.386,20.45,7.5
"East Long Lake",1994,220,1994-08-08,12,1707.574,178.345,0.4
"West Long Lake",1994,221,1994-08-09,0,1342.33,21.268,8.6
"West Long Lake",1994,221,1994-08-09,12,1994.893,130.878,0.3
"Peter Lake",1994,222,1994-08-10,0,833.706,36.581,9.2
"Peter Lake",1994,222,1994-08-10,12,1982.774,106.983,0.5
"Paul Lake",1994,223,1994-08-11,0,498.227,7.43,8.5
"Paul Lake",1994,223,1994-08-11,9,1499.438,78.664,0.6
"Tuesday Lake",1994,224,1994-08-12,0,474.994,14.492,8.8
"East Long Lake",1994,227,1994-08-15,0,1080.365,33.942,8.7
"East Long Lake",1994,227,1994-08-15,12,1575.196,181.769,0.5
"West Long Lake",1994,228,1994-08-16,12,2029.099,134.189,0.5
"Peter Lake",1994,229,1994-08-17,0,807.511,16.842,8.7
"Peter Lake",1994,229,1994-08-17,12,1999.095,130.118,0.3
"Paul Lake",1994,230,1994-08-18,0,408.059,10.515,8.5
"Paul Lake",1994,230,1994-08-18,9,1501.428,88.61,0.6
"East Long Lake",1994,234,1994-08-22,0,1056.517,24.365,8.7
"East Long Lake",1994,234,1994-08-22,1,1166.977,26.026,8.6
"East Long Lake",1994,234,1994-08-22,12,1758.808,185.318,0.3
"West Long Lake",1994,235,1994-08-23,12,1965.998,142.951,0.5
"Peter Lake",1994,236,1994-08-24,0,653.576,22.552,8.5
"Peter Lake",1994,236,1994-08-24,12,1830.455,107.686,0.6
"Paul Lake",1994,237,1994-08-25,0,424.318,8.694,8.1
"Paul Lake",1994,237,1994-08-25,9,624.987,48.894,0.6
"Tuesday Lake",1994,238,1994-08-26,0,434.383,18.663,8.7
"East Long Lake",1994,241,1994-08-29,0,907.374,20.554,6.9
"East Long Lake",1994,241,1994-08-29,2.5,995.558,53.283,6
"East Long Lake",1994,241,1994-08-29,12,1552.877,170.141,0.4
"West Long Lake",1994,242,1994-08-30,2.5,1236.967,20.801,8
"West Long Lake",1994,242,1994-08-30,12,2048.459,165.943,0.4
"Peter Lake",1994,243,1994-08-31,0,747.822,14.551,8.5
"Peter Lake",1994,243,1994-08-31,3.5,811.686,17.427,8.1
"Peter Lake",1994,243,1994-08-31,4.5,724.417,21.12,7.9
"Peter Lake",1994,243,1994-08-31,12,1977.114,116.681,0.8
"Paul Lake",1994,244,1994-09-01,0,437.397,10.192,7.3
"Paul Lake",1994,244,1994-09-01,3.5,404.947,27.089,6.7
"Paul Lake",1994,244,1994-09-01,9,1731.454,92.01,0.5
"Tuesday Lake",1994,245,1994-09-02,0,474.832,9.99,7.8
"Tuesday Lake",1994,245,1994-09-02,1,460.926,12.361,7.4
"East Long Lake",1994,248,1994-09-05,0,1133.331,22.52,7.9
"East Long Lake",1994,248,1994-09-05,1,1189.995,30.1,7.7
"East Long Lake",1994,248,1994-09-05,12,2011.558,212.454,0.5
"West Long Lake",1994,248,1994-09-05,0,1500,22.294,9.1
"West Long Lake",1994,248,1994-09-05,12,2329.901,156.492,0.5
"Paul Lake",1994,249,1994-09-06,0,557.812,16.281,7.8
"Paul Lake",1994,249,1994-09-06,9,1701.368,123.29,0.4
"Peter Lake",1994,249,1994-09-06,0,680.558,16.281,8.7
"Paul Lake",1999,144,1999-05-24,0,340.252,8.806,8.9
"Paul Lake",1999,144,1999-05-24,9,1100.092,37.759,0.1
"Peter Lake",1999,144,1999-05-24,0,560.862,11.14,10
"Peter Lake",1999,144,1999-05-24,12,1587.037,26.583,0.1
"Tuesday Lake",1999,145,1999-05-25,0,371.565,12.081,10.4
"Tuesday Lake",1999,145,1999-05-25,12,533.092,20.417,0.1
"East Long Lake",1999,146,1999-05-26,0,731.042,32.279,8.6
"East Long Lake",1999,146,1999-05-26,12,1673.362,263.396,0.1
"West Long Lake",1999,146,1999-05-26,0,469.071,13.949,10.4
"West Long Lake",1999,146,1999-05-26,12,727.543,107.491,0.1
"Crampton Lake",1999,162,1999-06-11,0,358.36,12.123,8.5
"Crampton Lake",1999,162,1999-06-11,10,531.493,22.911,0.6
"Paul Lake",1999,172,1999-06-21,0,393.202,15.827,8.2
"Paul Lake",1999,172,1999-06-21,9,1359.99,75.189,0.3
"Peter Lake",1999,172,1999-06-21,0,538.694,16.863,8
"Peter Lake",1999,172,1999-06-21,12,2098.122,61.886,0.3
"Tuesday Lake",1999,173,1999-06-22,0,482.668,13.365,8.9
"Tuesday Lake",1999,173,1999-06-22,0.5,482.668,12.194,9
"Tuesday Lake",1999,173,1999-06-22,1,482.668,16.631,9
"Tuesday Lake",1999,173,1999-06-22,12,1402.816,26.951,1.4
"East Long Lake",1999,174,1999-06-23,0,893.427,55.793,8.6
"East Long Lake",1999,174,1999-06-23,12,1629.723,278.119,0.3
"West Long Lake",1999,174,1999-06-23,0,620.146,19.159,8.1
"West Long Lake",1999,174,1999-06-23,12,1430.834,174.409,0.2
"Crampton Lake",1999,196,1999-07-15,0,376.304,5.803,8.4
"Crampton Lake",1999,196,1999-07-15,1,376.304,7.031,8.3
"Crampton Lake",1999,196,1999-07-15,2,376.304,11.857,8.4
"Crampton Lake",1999,196,1999-07-15,10,917.594,50.612,0.1
"Paul Lake",1999,200,1999-07-19,0,355.795,5.253,7.2
"Paul Lake",1999,200,1999-07-19,9,1657.376,72.473,0.1
"Peter Lake",1999,200,1999-07-19,0,594.585,8.732,8.3
"Peter Lake",1999,200,1999-07-19,1.5,594.585,13.394,8
"Peter Lake",1999,200,1999-07-19,12,2745.53,101.741,0.1
"Tuesday Lake",1999,201,1999-07-20,0,554.418,7.834,7.7
"Tuesday Lake",1999,201,1999-07-20,0.5,554.418,8.998,7.7
"Tuesday Lake",1999,201,1999-07-20,1,554.418,12.633,7.6
"Tuesday Lake",1999,201,1999-07-20,12,1077.438,37.841,0.1
"East Long Lake",1999,202,1999-07-21,0,788.066,50.132,6.7
"East Long Lake",1999,202,1999-07-21,12,1428.795,258.586,0.1
"West Long Lake",1999,202,1999-07-21,0,640.932,31.538,8.2
"West Long Lake",1999,202,1999-07-21,12,1448.872,169.249,0.1
"Paul Lake",1999,228,1999-08-16,0,395.547,11.063,7.6
"Paul Lake",1999,228,1999-08-16,0.5,395.547,6.25,7.6
"Peter Lake",1999,228,1999-08-16,0,588.069,11.917,8.7
"Peter Lake",1999,228,1999-08-16,12,2863.51,100.263,0.1
"Tuesday Lake",1999,229,1999-08-17,0,532.824,11.017,8.2
"Tuesday Lake",1999,229,1999-08-17,12,1126.667,32.013,0.1
"East Long Lake",1999,230,1999-08-18,0,843.096,33.656,7
"East Long Lake",1999,230,1999-08-18,12,1534.386,277.61,0.1
"West Long Lake",1999,230,1999-08-18,0,693.544,29.834,7.8
"West Long Lake",1999,230,1999-08-18,12,1508.102,179.978,0.1
"Crampton Lake",1999,232,1999-08-20,0,353.38,15.555,8.7
"Crampton Lake",1999,232,1999-08-20,10,956.406,53.333,0.1
"Peter Lake",2013,147,2013-05-27,0.5,360.04299,10.46786,9.14
"Paul Lake",2013,148,2013-05-28,0.5,268.30551,2.10596,8.88
"Tuesday Lake",2013,149,2013-05-29,0.5,435.61293,13.3171,9.53
"Peter Lake",2013,154,2013-06-03,0.5,288.47991,-3.097,9.4
"Paul Lake",2013,155,2013-06-04,0.5,304.00299,8.14511,8.97
"Tuesday Lake",2013,156,2013-06-05,0.5,366.15135,10.99435,9.57
"Peter Lake",2013,161,2013-06-10,0.5,351.02055,4.92423,9.27
"Paul Lake",2013,162,2013-06-11,0.5,284.403,0.49552,8.86
"Tuesday Lake",2013,163,2013-06-12,0.5,348.79296,17.21932,8.59
"Peter Lake",2013,168,2013-06-17,0.5,373.99695,2.13693,7.97
"Paul Lake",2013,169,2013-06-18,0.5,293.76168,1.26977,8.28
"Tuesday Lake",2013,170,2013-06-19,0.5,471.42249,14.21523,8.37
"Peter Lake",2013,175,2013-06-24,0.5,416.02695,2.19887,8.06
"Paul Lake",2013,176,2013-06-25,0.5,283.45032,0.96007,7.46
"Tuesday Lake",2013,177,2013-06-26,0.5,468.42435,14.5559,7.48
"Peter Lake",2013,182,2013-07-01,0.5,353.78052,2.97312,8.08
"Paul Lake",2013,183,2013-07-02,0.5,291.60414,-0.18582,7.64
"Tuesday Lake",2013,184,2013-07-03,0.5,465.51027,21.86482,7.71
"Peter Lake",2013,189,2013-07-08,0.5,346.48131,3.15894,7.51
"Paul Lake",2013,190,2013-07-09,0.5,280.14396,14.43202,6.96
"Tuesday Lake",2013,191,2013-07-10,0.5,481.60776,20.93572,7.24
"Peter Lake",2013,196,2013-07-15,0.5,405.26727,17.3432,7.81
"Paul Lake",2013,197,2013-07-16,0.5,280.59228,16.35216,7.03
"Peter Lake",2013,203,2013-07-22,0.5,380.72175,19.63498,7.26
"Paul Lake",2013,204,2013-07-23,0.5,291.53409,-4.05707,7.06
"Tuesday Lake",2013,205,2013-07-24,0.5,571.35582,19.85177,7.22
"Peter Lake",2013,210,2013-07-29,0.5,424.85325,17.86969,8.19
"Paul Lake",2013,211,2013-07-30,0.5,255.5424,10.62271,8.09
"Tuesday Lake",2013,212,2013-07-31,0.5,543.75612,31.43455,9.14
"Peter Lake",2013,217,2013-08-05,0.5,372.93219,25.92189,8.91
"Paul Lake",2013,218,2013-08-06,0.5,274.94625,11.27308,7.72
"Tuesday Lake",2013,219,2013-08-07,0.5,496.13613,48.71581,9.14
"Peter Lake",2013,224,2013-08-12,0.5,396.23082,15.73276,8.63
"Paul Lake",2013,225,2013-08-13,0.5,254.89794,1.64141,7.76
"Tuesday Lake",2013,226,2013-08-14,0.5,565.06533,55.90085,8.6
"Peter Lake",2013,231,2013-08-19,0.5,426.64653,20.06856,8.55
"Paul Lake",2013,232,2013-08-20,0.5,288.95625,-4.49065,7.83
"Tuesday Lake",2013,233,2013-08-21,0.5,501.40389,33.50954,8.24
"Peter Lake",2013,238,2013-08-26,0.5,474.89697,14.12232,7.62
"Paul Lake",2013,239,2013-08-27,4,229.4284297,-3.039289339,9.53
"Paul Lake",2013,239,2013-08-27,0.5,312.57711,-3.46864,7.31
"Paul Lake",2013,239,2013-08-27,9,1567.081456,49.54736293,0.39
"Tuesday Lake",2013,240,2013-08-28,3,414.343832,24.96731911,4.21
"Tuesday Lake",2013,240,2013-08-28,0.5,480.85122,18.11745,8.34
"Tuesday Lake",2013,240,2013-08-28,10,718.5447326,38.46000552,0.32
"Peter Lake",2014,146,2014-05-26,0.5,289,16,8.7
"Paul Lake",2014,147,2014-05-27,0.5,207,9,8.7
"Tuesday Lake",2014,148,2014-05-28,0.5,392,15,8.9
"Peter Lake",2014,153,2014-06-02,0.5,325,10,8.1
"Paul Lake",2014,154,2014-06-03,0.5,190,5,7.8
"Tuesday Lake",2014,155,2014-06-04,0.5,436,20,9.5
"Peter Lake",2014,160,2014-06-09,0.5,301,19,8.1
"Paul Lake",2014,161,2014-06-10,0.5,198,7,8.4
"Tuesday Lake",2014,162,2014-06-11,0.5,427,25,9.1
"Peter Lake",2014,167,2014-06-16,0.5,344,18,10.3
"Paul Lake",2014,168,2014-06-17,0.5,223,11,8.6
"Tuesday Lake",2014,169,2014-06-18,0.5,531,42,8.2
"Peter Lake",2014,174,2014-06-23,0.5,360,23,8.1
"Paul Lake",2014,175,2014-06-24,0.5,227,27,8
"Tuesday Lake",2014,176,2014-06-25,0.5,535,58,8.1
"Peter Lake",2014,181,2014-06-30,0.5,308,13,8
"Paul Lake",2014,182,2014-07-01,0.5,230,7,7.6
"Tuesday Lake",2014,183,2014-07-02,0.5,526,31,7.6
"Peter Lake",2014,188,2014-07-07,0.5,386,14,7.8
"Paul Lake",2014,189,2014-07-08,0.5,259,9,7.3
"Tuesday Lake",2014,190,2014-07-09,0.5,491,39,7.8
"Peter Lake",2014,195,2014-07-14,0.5,388,16,8.1
"Paul Lake",2014,196,2014-07-15,0.5,231,10,8.2
"Tuesday Lake",2014,197,2014-07-16,0.5,538,39,8.4
"Peter Lake",2014,202,2014-07-21,0.5,403,18,7.4
"Paul Lake",2014,203,2014-07-22,0.5,230,10,7.1
"Tuesday Lake",2014,204,2014-07-23,0.5,516,39,8.1
"Peter Lake",2014,209,2014-07-28,0.5,416,31,7.4
"Paul Lake",2014,210,2014-07-29,0.5,266,7,7.5
"Tuesday Lake",2014,211,2014-07-30,0.5,521,40,7.7
"Peter Lake",2014,216,2014-08-04,0.5,469,18,7.9
"Paul Lake",2014,217,2014-08-05,0.5,228,2,7.1
"Tuesday Lake",2014,218,2014-08-06,0.5,549,30,7.7
"Peter Lake",2014,223,2014-08-11,0.5,449,13,7.9
"Paul Lake",2014,224,2014-08-12,0.5,229,2,7
"Tuesday Lake",2014,225,2014-08-13,0.5,549,32,7.7
"Peter Lake",2014,230,2014-08-18,0.5,481,11,7.9
"Paul Lake",2014,231,2014-08-19,0.5,222,2,6.6
"Tuesday Lake",2014,232,2014-08-20,0.5,570,34,7.2
"Peter Lake",2014,237,2014-08-25,0.5,495,11,8.2
"Paul Lake",2014,238,2014-08-26,0.5,230,2,7.6
"Tuesday Lake",2014,239,2014-08-27,0.5,540,35,8.5
"Peter Lake",2015,138,2015-05-18,0.5,302.5,14,12.8
"Paul Lake",2015,139,2015-05-19,0.5,176.5,15,9.1
"Tuesday Lake",2015,140,2015-05-20,0.5,389.5,17,9.4
"Peter Lake",2015,145,2015-05-25,0.5,254.5,12,8
"Paul Lake",2015,146,2015-05-26,0.5,198.5,13,8
"Peter Lake",2015,152,2015-06-01,0.5,234.5,3,8.5
"Paul Lake",2015,153,2015-06-02,0.5,215.5,17,8.6
