"lakename","year4","daynum","sampledate","depth","tn_ug","tp_ug","dissolvedOxygen"
"Paul Lake",1991,196,1991-07-15,8,1601,52,0
"Peter Lake",1991,197,1991-07-16,0,490,9,6.7
"Peter Lake",1991,197,1991-07-16,1,416,6,6.8
"Peter Lake",1991,197,1991-07-16,2,399,9,6.4
"Peter Lake",1991,197,1991-07-16,3.5,438,9,10.7
"Peter Lake",1991,197,1991-07-16,4.5,363,6,12
"Peter Lake",1991,197,1991-07-16,12,684,26,0
"East Long Lake",1991,198,1991-07-17,0,599,10,6.4
"East Long Lake",1991,198,1991-07-17,3,517,13,5.2
"East Long Lake",1991,198,1991-07-17,12,1115,63,0
"West Long Lake",1991,199,1991-07-18,0,542,6,6.5
"West Long Lake",1991,199,1991-07-18,3,530,14,2.6
"West Long Lake",1991,199,1991-07-18,12,736,38,0
"Tuesday Lake",1991,200,1991-07-19,0.5,530,7,6.2
"Tuesday Lake",1991,200,1991-07-19,12,888,27,0
"Paul Lake",1991,203,1991-07-22,0,431,6,5.9
"Paul Lake",1991,203,1991-07-22,1.5,462,7,5.8
"Paul Lake",1991,203,1991-07-22,8,1266,39,0
"Peter Lake",1991,204,1991-07-23,0,364,7,6.5
"Peter Lake",1991,204,1991-07-23,1,389,8,6.6
"Peter Lake",1991,204,1991-07-23,2,336,9,6.6
"Peter Lake",1991,204,1991-07-23,3.5,336,8,9.7
"Peter Lake",1991,204,1991-07-23,12,775,25,0
"East Long Lake",1991,205,1991-07-24,0,523,13,6.2
"East Long Lake",1991,205,1991-07-24,12,1131,74,0
"West Long Lake",1991,206,1991-07-25,0,530,13,6
"West Long Lake",1991,206,1991-07-25,12,687,50,0
"Tuesday Lake",1991,207,1991-07-26,12,883,24,0
"Paul Lake",1991,210,1991-07-29,0,442,9,6.5
"Paul Lake",1991,210,1991-07-29,0.5,404,18,6.5
"Paul Lake",1991,210,1991-07-29,8,1141,63,0.2
"Peter Lake",1991,211,1991-07-30,0,368,22,7.3
"Peter Lake",1991,211,1991-07-30,2,333,11,7.2
"Peter Lake",1991,211,1991-07-30,4.5,344,11,11
"Peter Lake",1991,211,1991-07-30,12,754,41,0.1
"East Long Lake",1991,212,1991-07-31,0,580,8,6.9
"East Long Lake",1991,212,1991-07-31,12,1065,83,0
"West Long Lake",1991,213,1991-08-01,0,457,14,6.9
"West Long Lake",1991,213,1991-08-01,3,388,13,0.6
"West Long Lake",1991,213,1991-08-01,12,633,59,0
"Tuesday Lake",1991,214,1991-08-02,12,972,29,0
"Paul Lake",1991,217,1991-08-05,0,380,11,6.9
"Paul Lake",1991,217,1991-08-05,1.5,343,13,6.9
"Paul Lake",1991,217,1991-08-05,2.5,321,11,6.8
"Paul Lake",1991,217,1991-08-05,8,1235,55,0
"Peter Lake",1991,218,1991-08-06,0,288,10,6.9
"Peter Lake",1991,218,1991-08-06,1,289,8,6.8
"Peter Lake",1991,218,1991-08-06,2,271,9,7
"Peter Lake",1991,218,1991-08-06,5,274,10,11.2
"Peter Lake",1991,218,1991-08-06,8,317,18,1.7
"Peter Lake",1991,218,1991-08-06,12,703,35,0.1
"East Long Lake",1991,219,1991-08-07,0,440,15,6.7
"East Long Lake",1991,219,1991-08-07,1.5,418,14,6.5
"East Long Lake",1991,219,1991-08-07,2,411,15,6.2
"East Long Lake",1991,219,1991-08-07,12,967,82,0
"West Long Lake",1991,220,1991-08-08,0,472,14,6.9
"West Long Lake",1991,220,1991-08-08,1.5,472,10,6.9
"West Long Lake",1991,220,1991-08-08,12,652,46,0
"Tuesday Lake",1991,221,1991-08-09,12,998,36,0
"Paul Lake",1991,224,1991-08-12,0,383,7,6.7
"Paul Lake",1991,224,1991-08-12,1.5,362,13,6.8
"Paul Lake",1991,224,1991-08-12,2.5,329,10,6.4
"Paul Lake",1991,224,1991-08-12,5.5,419,15,2
"Paul Lake",1991,224,1991-08-12,8,1273,43,0.1
"Peter Lake",1991,225,1991-08-13,0,317,12,7.2
"Peter Lake",1991,225,1991-08-13,4,326,11,8.6
"Peter Lake",1991,225,1991-08-13,5,354,10,11.4
"Peter Lake",1991,225,1991-08-13,12,946,38,0.1
"East Long Lake",1991,226,1991-08-14,0,442,15,6.6
"East Long Lake",1991,226,1991-08-14,12,1135,74,0.1
"West Long Lake",1991,227,1991-08-15,0,498,10,6.8
"West Long Lake",1991,227,1991-08-15,1.5,444,16,6.8
"West Long Lake",1991,227,1991-08-15,2,418,11,6.2
"West Long Lake",1991,227,1991-08-15,12,716,45,0
"Tuesday Lake",1991,228,1991-08-16,0.5,478,8,6.3
"Tuesday Lake",1991,228,1991-08-16,12,937,34,0
"Paul Lake",1991,231,1991-08-19,0,415,8,6.6
"Paul Lake",1991,231,1991-08-19,8,1217,48,0.1
"Peter Lake",1991,232,1991-08-20,0,280,12,7.1
"Peter Lake",1991,232,1991-08-20,1,267,10,6.9
"Peter Lake",1991,232,1991-08-20,2,303,9,7
"Peter Lake",1991,232,1991-08-20,4.5,295,11,10.6
"Peter Lake",1991,232,1991-08-20,12,723,36,0.1
"East Long Lake",1991,233,1991-08-21,0,518,10,6.7
"East Long Lake",1991,233,1991-08-21,3,342,9,4.7
"East Long Lake",1991,233,1991-08-21,12,1130,65,0
"West Long Lake",1991,234,1991-08-22,0,459,8,6.6
"West Long Lake",1991,234,1991-08-22,1.5,547,11,6.7
"West Long Lake",1991,234,1991-08-22,2,379,24,6.3
"West Long Lake",1991,234,1991-08-22,12,707,50,0.1
"Tuesday Lake",1991,235,1991-08-23,12,912,45,0.1
"Paul Lake",1991,238,1991-08-26,0,345,8,6.8
"Paul Lake",1991,238,1991-08-26,8,1074,43,0.1
"Peter Lake",1991,239,1991-08-27,0,275,11,7.1
"Peter Lake",1991,239,1991-08-27,12,714,34,0.1
"East Long Lake",1991,240,1991-08-28,0,489,13,6.7
"East Long Lake",1991,240,1991-08-28,12,1152,65,0.1
"West Long Lake",1991,241,1991-08-29,0,521,10,6.8
"West Long Lake",1991,241,1991-08-29,12,706,43,0.1
"Tuesday Lake",1991,242,1991-08-30,12,1035,38,0
"Paul Lake",1991,245,1991-09-02,0,477,7,6.8
"Paul Lake",1991,245,1991-09-02,8,1638,42,0.1
"Peter Lake",1991,246,1991-09-03,0,345,6,7
"Peter Lake",1991,246,1991-09-03,4,430,10,7
"Peter Lake",1991,246,1991-09-03,5.5,417,11,10.8
"Peter Lake",1991,246,1991-09-03,12,703,29,0.1
"East Long Lake",1991,247,1991-09-04,0,478,9,6.4
"East Long Lake",1991,247,1991-09-04,3,348,8,3.6
"East Long Lake",1991,247,1991-09-04,12,1161,76,0
"West Long Lake",1991,248,1991-09-05,0,440,7,6.9
"West Long Lake",1991,248,1991-09-05,1.5,515,12,6.7
"West Long Lake",1991,248,1991-09-05,12,746,51,0.1
"Tuesday Lake",1991,249,1991-09-06,12,784,31,0.1
"East Long Lake",1992,139,1992-05-18,0,689.44,30.57,8.3
"East Long Lake",1992,139,1992-05-18,1,490.13,17.85,8.2
"East Long Lake",1992,139,1992-05-18,12,1240.88,87.4,0.2
"West Long Lake",1992,140,1992-05-19,0,670.48,17.66,8.9
"West Long Lake",1992,140,1992-05-19,12,880.33,51.4,0.2
"Peter Lake",1992,141,1992-05-20,0,347.15,12.32,8.7
"Peter Lake",1992,141,1992-05-20,12,521.88,33.15,0.1
"East Long Lake",1992,146,1992-05-25,0,615.76,14.3,8.1
"East Long Lake",1992,146,1992-05-25,12,1423.62,81.08,0.1
"West Long Lake",1992,147,1992-05-26,0,522.53,7.74,8.9
"West Long Lake",1992,147,1992-05-26,12,661.06,43.25,0.1
"Peter Lake",1992,148,1992-05-27,0,272,5.65,9
"Peter Lake",1992,148,1992-05-27,12,902.66,34.05,0.4
"East Long Lake",1992,153,1992-06-01,0,351.95,9.79,8.8
"East Long Lake",1992,153,1992-06-01,1.5,516.58,10.35,8.5
"East Long Lake",1992,153,1992-06-01,2.5,444.12,12.05,6
"East Long Lake",1992,153,1992-06-01,12,1090.22,86.02,0.8
"West Long Lake",1992,154,1992-06-02,0,369.74,4.63,8.6
"West Long Lake",1992,154,1992-06-02,12,570.61,36.49,0.8
"Peter Lake",1992,155,1992-06-03,0,644.28,14.98,9.3
"Peter Lake",1992,155,1992-06-03,1,373.54,7.75,8.9
"Peter Lake",1992,155,1992-06-03,2,341.85,8.53,9.9
"Peter Lake",1992,155,1992-06-03,7,323.23,22.86,3.5
"Peter Lake",1992,155,1992-06-03,12,868.62,34.2,0.9
"East Long Lake",1992,160,1992-06-08,0,490.53,20.71,9.1
"East Long Lake",1992,160,1992-06-08,12,1225.57,88.49,1
"West Long Lake",1992,161,1992-06-09,0,325.03,2.69,8.8
"West Long Lake",1992,161,1992-06-09,2.5,435.95,6.24,9
"West Long Lake",1992,161,1992-06-09,12,636.33,44.89,0.9
"Peter Lake",1992,162,1992-06-10,0,258.24,8.3,9.1
"Peter Lake",1992,162,1992-06-10,4.5,174,25.72,13.5
"Peter Lake",1992,162,1992-06-10,12,600.38,34.54,0.1
"East Long Lake",1992,167,1992-06-15,0,583.78,13.22,8.7
"East Long Lake",1992,167,1992-06-15,12,1139.26,41.85,0.7
"West Long Lake",1992,168,1992-06-16,0,404.24,4.87,8.8
"West Long Lake",1992,168,1992-06-16,12,691.81,60.74,0.8
"Peter Lake",1992,169,1992-06-17,0,581.51,3.54,9.3
"Peter Lake",1992,169,1992-06-17,12,771.12,27.63,0.4
"East Long Lake",1992,174,1992-06-22,0,735.41,19.4,9.9
"East Long Lake",1992,174,1992-06-22,1.5,312.94,14.1,9.6
"East Long Lake",1992,174,1992-06-22,12,1264.24,91.53,0.7
"West Long Lake",1992,175,1992-06-23,0,303.17,3.08,9.6
"West Long Lake",1992,175,1992-06-23,1.5,204.14,8.67,9.8
"West Long Lake",1992,175,1992-06-23,12,536.39,48.69,0.5
"Peter Lake",1992,176,1992-06-24,0,219.72,0,10.2
"Peter Lake",1992,176,1992-06-24,3.5,410.39,10.7,11.5
"Peter Lake",1992,176,1992-06-24,5,291.39,7.09,14.1
"Peter Lake",1992,176,1992-06-24,12,887.87,60.27,0.7
"East Long Lake",1992,181,1992-06-29,0,534.26,9.56,9.9
