"lakename","year4","daynum","sampledate","depth","tn_ug","tp_ug","temperature_C","dissolvedOxygen"
"Paul Lake",1991,140,1991-05-20,0,538,25,16.6,8.7
"Paul Lake",1991,140,1991-05-20,0.85,285,14,NA,NA
"Paul Lake",1991,140,1991-05-20,1.75,399,14,NA,NA
"Paul Lake",1991,140,1991-05-20,3,453,14,10.4,11.3
"Paul Lake",1991,140,1991-05-20,4,363,13,7.9,11.7
"Paul Lake",1991,140,1991-05-20,6,583,37,5.3,1.1
"Peter Lake",1991,140,1991-05-20,0,352,11,16.6,9.1
"Peter Lake",1991,140,1991-05-20,1,356,15,16.2,9.1
"Peter Lake",1991,140,1991-05-20,2.25,364,28,NA,NA
"Peter Lake",1991,140,1991-05-20,3.5,582,14,9.4,12
"Peter Lake",1991,140,1991-05-20,4.65,335,17,NA,NA
"Peter Lake",1991,140,1991-05-20,6.5,352,19,4.9,6.7
"East Long Lake",1991,142,1991-05-22,0,375,15,19.9,8
"East Long Lake",1991,142,1991-05-22,0.4,479,12,NA,NA
"East Long Lake",1991,142,1991-05-22,0.75,419,14,NA,NA
"East Long Lake",1991,142,1991-05-22,1.2,497,16,NA,NA
"East Long Lake",1991,142,1991-05-22,2,434,12,14.6,9.9
"East Long Lake",1991,142,1991-05-22,3.75,394,12,NA,NA
"West Long Lake",1991,142,1991-05-22,0,471,12,20.2,8.1
"West Long Lake",1991,142,1991-05-22,0.4,489,21,NA,NA
"West Long Lake",1991,142,1991-05-22,0.75,466,14,NA,NA
"West Long Lake",1991,142,1991-05-22,1.5,420,12,18.3,8.5
"West Long Lake",1991,142,1991-05-22,2.25,404,13,NA,NA
"West Long Lake",1991,142,1991-05-22,4,479,16,8,8.8
"Paul Lake",1991,147,1991-05-27,0,483,8,19.4,7.4
"Paul Lake",1991,147,1991-05-27,0.65,351,8,NA,NA
"Paul Lake",1991,147,1991-05-27,1.5,337,9,19,7.2
"Paul Lake",1991,147,1991-05-27,2.75,327,9,NA,NA
"Paul Lake",1991,147,1991-05-27,4,346,13,8.7,11.4
"Paul Lake",1991,147,1991-05-27,6,687,32,5.7,0.6
"Paul Lake",1991,147,1991-05-27,8,900,45,4.9,0.2
"Peter Lake",1991,148,1991-05-28,0,342,23,20.6,8
"Peter Lake",1991,148,1991-05-28,0.85,326,13,NA,NA
"Peter Lake",1991,148,1991-05-28,1.75,573,17,NA,NA
"Peter Lake",1991,148,1991-05-28,3.25,386,11,NA,NA
"Peter Lake",1991,148,1991-05-28,4.25,400,12,NA,NA
"Peter Lake",1991,148,1991-05-28,6.5,415,16,5.1,5.9
"Peter Lake",1991,148,1991-05-28,12,660,25,4.3,0
"East Long Lake",1991,149,1991-05-29,0,684,15,21.1,7.3
"East Long Lake",1991,149,1991-05-29,0.5,557,11,21,7.3
"East Long Lake",1991,149,1991-05-29,1,538,11,20.9,7.4
"East Long Lake",1991,149,1991-05-29,1.65,553,13,NA,NA
"East Long Lake",1991,149,1991-05-29,1.9,693,12,NA,NA
"East Long Lake",1991,149,1991-05-29,3.25,474,15,NA,NA
"East Long Lake",1991,149,1991-05-29,12,943,42,4.3,0
"West Long Lake",1991,150,1991-05-30,0,512,10,22.5,7.3
"West Long Lake",1991,150,1991-05-30,0.33,539,18,NA,NA
"West Long Lake",1991,150,1991-05-30,0.87,529,11,NA,NA
"West Long Lake",1991,150,1991-05-30,1.6,481,15,NA,NA
"West Long Lake",1991,150,1991-05-30,2.2,610,12,NA,NA
"West Long Lake",1991,150,1991-05-30,3.6,506,11,NA,NA
"West Long Lake",1991,150,1991-05-30,12,637,26,4.7,0
"Tuesday Lake",1991,151,1991-05-31,0.5,501,25,21.7,6.9
"Tuesday Lake",1991,151,1991-05-31,12,380,54,4,0
"Paul Lake",1991,154,1991-06-03,0,512,17,22.4,6.6
"Paul Lake",1991,154,1991-06-03,0.5,584,8,22.3,6.5
"Paul Lake",1991,154,1991-06-03,1.25,470,17,NA,NA
"Paul Lake",1991,154,1991-06-03,2.25,587,7,NA,NA
"Paul Lake",1991,154,1991-06-03,3.4,348,5,NA,NA
"Paul Lake",1991,154,1991-06-03,5.34,468,20,NA,NA
"Paul Lake",1991,154,1991-06-03,8,1107,32,4.9,0
"Peter Lake",1991,155,1991-06-04,0,573,5,21.2,7.5
"Peter Lake",1991,155,1991-06-04,0.9,436,6,NA,NA
"Peter Lake",1991,155,1991-06-04,1.75,394,7,NA,NA
"Peter Lake",1991,155,1991-06-04,3.2,342,6,NA,NA
"Peter Lake",1991,155,1991-06-04,4.25,324,5,NA,NA
"Peter Lake",1991,155,1991-06-04,6.75,439,16,NA,NA
"Peter Lake",1991,155,1991-06-04,12,590,19,4.3,0
"East Long Lake",1991,156,1991-06-05,0,579,10,21.1,6.8
"East Long Lake",1991,156,1991-06-05,0.35,599,11,NA,NA
"East Long Lake",1991,156,1991-06-05,0.6,528,12,NA,NA
"East Long Lake",1991,156,1991-06-05,1,530,11,20.9,6.6
"East Long Lake",1991,156,1991-06-05,1.4,540,9,NA,NA
"East Long Lake",1991,156,1991-06-05,2.5,497,9,13.8,9.3
"East Long Lake",1991,156,1991-06-05,12,959,42,4.3,0
"West Long Lake",1991,157,1991-06-06,0,490,4,21.5,7
"West Long Lake",1991,157,1991-06-06,0.37,418,5,NA,NA
"West Long Lake",1991,157,1991-06-06,0.87,472,7,NA,NA
"West Long Lake",1991,157,1991-06-06,1.4,425,6,NA,NA
"West Long Lake",1991,157,1991-06-06,2,402,8,18.5,8.4
"West Long Lake",1991,157,1991-06-06,3.4,498,10,NA,NA
"West Long Lake",1991,157,1991-06-06,12,574,26,4.8,0
"Tuesday Lake",1991,158,1991-06-07,0.667,465,13,NA,NA
"Tuesday Lake",1991,158,1991-06-07,12,761,26,4,0
"Paul Lake",1991,161,1991-06-10,0,421,11,22.6,6.4
"Paul Lake",1991,161,1991-06-10,0.55,352,14,NA,NA
"Paul Lake",1991,161,1991-06-10,1.3,407,11,NA,NA
"Paul Lake",1991,161,1991-06-10,2.25,299,9,NA,NA
"Paul Lake",1991,161,1991-06-10,3.4,334,11,NA,NA
"Paul Lake",1991,161,1991-06-10,5.7,434,21,NA,NA
"Paul Lake",1991,161,1991-06-10,8,1271,45,4.9,0
"Peter Lake",1991,162,1991-06-11,0,296,9,22.4,7.5
"Peter Lake",1991,162,1991-06-11,1.25,291,9,NA,NA
"Peter Lake",1991,162,1991-06-11,2.6,308,8,NA,NA
"Peter Lake",1991,162,1991-06-11,4.1,324,12,NA,NA
"Peter Lake",1991,162,1991-06-11,5.4,374,16,NA,NA
"Peter Lake",1991,162,1991-06-11,7.8,376,19,NA,NA
"Peter Lake",1991,162,1991-06-11,12,676,31,4.4,0
"East Long Lake",1991,163,1991-06-12,0,470,16,21.6,6.7
"East Long Lake",1991,163,1991-06-12,0.25,491,18,NA,NA
"East Long Lake",1991,163,1991-06-12,0.6,532,19,NA,NA
"East Long Lake",1991,163,1991-06-12,1,490,17,21.5,6.6
"East Long Lake",1991,163,1991-06-12,1.45,491,16,NA,NA
"East Long Lake",1991,163,1991-06-12,2.5,437,17,14.1,8.1
"East Long Lake",1991,163,1991-06-12,12,736,NA,4.3,0
"West Long Lake",1991,164,1991-06-13,0,497,20,21.7,7.1
"West Long Lake",1991,164,1991-06-13,0.4,418,14,NA,NA
"West Long Lake",1991,164,1991-06-13,0.75,462,10,NA,NA
"West Long Lake",1991,164,1991-06-13,1.45,473,10,NA,NA
"West Long Lake",1991,164,1991-06-13,2,476,17,19.9,8.3
"West Long Lake",1991,164,1991-06-13,3.4,415,14,NA,NA
"West Long Lake",1991,164,1991-06-13,12,559,35,4.8,0
"Tuesday Lake",1991,165,1991-06-14,0.383,491,13,NA,NA
"Tuesday Lake",1991,165,1991-06-14,12,807,27,4,0
"Paul Lake",1991,168,1991-06-17,0,474,8,22.8,6.6
"Paul Lake",1991,168,1991-06-17,0.65,377,10,NA,NA
"Paul Lake",1991,168,1991-06-17,1.3,411,12,NA,NA
"Paul Lake",1991,168,1991-06-17,2.4,347,12,NA,NA
"Paul Lake",1991,168,1991-06-17,3.25,359,12,NA,NA
"Paul Lake",1991,168,1991-06-17,5.4,446,20,NA,NA
"Paul Lake",1991,168,1991-06-17,8,1164,39,5.1,0
"Peter Lake",1991,169,1991-06-18,0,321,8,23.3,7.4
"Peter Lake",1991,169,1991-06-18,1,286,10,23.3,7.3
"Peter Lake",1991,169,1991-06-18,2,295,15,23,7.3
"Peter Lake",1991,169,1991-06-18,3.8,274,7,NA,NA
"Peter Lake",1991,169,1991-06-18,5.2,269,15,NA,NA
"Peter Lake",1991,169,1991-06-18,7.6,359,19,NA,NA
"Peter Lake",1991,169,1991-06-18,12,626,33,4.4,0
"East Long Lake",1991,170,1991-06-19,0,480,19,23.2,6.6
"East Long Lake",1991,170,1991-06-19,0.3,503,18,NA,NA
"East Long Lake",1991,170,1991-06-19,0.65,480,18,NA,NA
"East Long Lake",1991,170,1991-06-19,1.1,430,17,NA,NA
"East Long Lake",1991,170,1991-06-19,1.45,448,18,NA,NA
"East Long Lake",1991,170,1991-06-19,2.6,393,17,NA,NA
"East Long Lake",1991,170,1991-06-19,12,919,71,4.3,0
"West Long Lake",1991,171,1991-06-20,0,454,16,23.5,6.9
"West Long Lake",1991,171,1991-06-20,0.35,403,15,NA,NA
"West Long Lake",1991,171,1991-06-20,0.75,474,19,NA,NA
"West Long Lake",1991,171,1991-06-20,1.4,423,15,NA,NA
"West Long Lake",1991,171,1991-06-20,1.9,424,15,NA,NA
"West Long Lake",1991,171,1991-06-20,3.5,386,13,10.4,5.9
"West Long Lake",1991,171,1991-06-20,12,534,36,4.9,0
"Tuesday Lake",1991,172,1991-06-21,0.383,450,15,NA,NA
"Tuesday Lake",1991,172,1991-06-21,12,802,27,4,0
"Paul Lake",1991,175,1991-06-24,0,400,9,21.1,7.4
"Paul Lake",1991,175,1991-06-24,0.8,495,10,NA,NA
"Paul Lake",1991,175,1991-06-24,1.5,437,11,20.8,7
"Paul Lake",1991,175,1991-06-24,2.6,368,11,NA,NA
"Paul Lake",1991,175,1991-06-24,3.6,346,12,NA,NA
"Paul Lake",1991,175,1991-06-24,5.5,458,33,7,3.2
"Paul Lake",1991,175,1991-06-24,8,1287,75,5,0
"Peter Lake",1991,176,1991-06-25,0,292,4,21.9,7.9
"Peter Lake",1991,176,1991-06-25,1,304,7,21.9,7.8
"Peter Lake",1991,176,1991-06-25,1.9,317,6,NA,NA
"Peter Lake",1991,176,1991-06-25,3.4,312,8,NA,NA
"Peter Lake",1991,176,1991-06-25,4.7,334,11,NA,NA
"Peter Lake",1991,176,1991-06-25,7.4,336,17,NA,NA
"Peter Lake",1991,176,1991-06-25,12,593,25,4.4,0
"East Long Lake",1991,177,1991-06-26,0,514,17,23.4,7.2
"East Long Lake",1991,177,1991-06-26,0.35,503,18,NA,NA
"East Long Lake",1991,177,1991-06-26,0.65,496,16,NA,NA
"East Long Lake",1991,177,1991-06-26,1.1,440,15,NA,NA
"East Long Lake",1991,177,1991-06-26,1.6,457,15,NA,NA
"East Long Lake",1991,177,1991-06-26,2.9,370,12,NA,NA
"East Long Lake",1991,177,1991-06-26,12,822,58,4.4,0
"West Long Lake",1991,178,1991-06-27,0,523,11,24.5,6.8
"West Long Lake",1991,178,1991-06-27,0.4,508,5,NA,NA
"West Long Lake",1991,178,1991-06-27,0.75,474,10,NA,NA
"West Long Lake",1991,178,1991-06-27,1.4,518,13,NA,NA
"West Long Lake",1991,178,1991-06-27,1.9,468,14,NA,NA
"West Long Lake",1991,178,1991-06-27,3.4,368,17,NA,NA
"West Long Lake",1991,178,1991-06-27,12,554,38,5,0
"Tuesday Lake",1991,179,1991-06-28,0.417,524,10,NA,NA
"Tuesday Lake",1991,179,1991-06-28,12,857,25,4,0
"Paul Lake",1991,182,1991-07-01,0,506,9,21.4,6.4
"Paul Lake",1991,182,1991-07-01,0.8,560,12,NA,NA
"Paul Lake",1991,182,1991-07-01,1.6,503,12,NA,NA
"Paul Lake",1991,182,1991-07-01,2.5,504,13,19.8,7.3
"Paul Lake",1991,182,1991-07-01,3.8,398,12,NA,NA
"Paul Lake",1991,182,1991-07-01,5.7,535,39,NA,NA
"Paul Lake",1991,182,1991-07-01,8,1033,44,5.3,0.1
"Peter Lake",1991,183,1991-07-02,0,346,10,21.3,7.6
"Peter Lake",1991,183,1991-07-02,0.8,352,9,NA,NA
"Peter Lake",1991,183,1991-07-02,1.75,395,10,NA,NA
"Peter Lake",1991,183,1991-07-02,3.4,298,14,NA,NA
"Peter Lake",1991,183,1991-07-02,4.5,300,NA,11.9,11.7
"Peter Lake",1991,183,1991-07-02,7,385,18,5.8,4.9
"Peter Lake",1991,183,1991-07-02,12,592,28,4.5,0
"East Long Lake",1991,184,1991-07-03,0,538,14,21.2,7.1
"East Long Lake",1991,184,1991-07-03,0.3,454,12,NA,NA
"East Long Lake",1991,184,1991-07-03,0.6,429,19,NA,NA
"East Long Lake",1991,184,1991-07-03,1.2,419,15,NA,NA
"East Long Lake",1991,184,1991-07-03,1.5,450,15,21,6.9
"East Long Lake",1991,184,1991-07-03,2.6,400,15,NA,NA
"East Long Lake",1991,184,1991-07-03,12,927,58,4.4,0
"West Long Lake",1991,185,1991-07-04,0,489,16,21.4,7.1
"West Long Lake",1991,185,1991-07-04,0.4,511,9,NA,NA
"West Long Lake",1991,185,1991-07-04,0.75,539,11,NA,NA
"West Long Lake",1991,185,1991-07-04,1.4,514,8,NA,NA
"West Long Lake",1991,185,1991-07-04,1.9,541,14,NA,NA
"West Long Lake",1991,185,1991-07-04,3.1,469,10,NA,NA
"West Long Lake",1991,185,1991-07-04,12,661,33,5,0
"Tuesday Lake",1991,186,1991-07-05,0.3,497,12,NA,NA
"Tuesday Lake",1991,186,1991-07-05,12,870,27,4,0
"Paul Lake",1991,189,1991-07-08,0,341,11,22.4,6.4
"Paul Lake",1991,189,1991-07-08,0.75,522,14,NA,NA
"Paul Lake",1991,189,1991-07-08,1.4,416,11,NA,NA
"Paul Lake",1991,189,1991-07-08,2.5,402,18,20.6,6.5
"Paul Lake",1991,189,1991-07-08,3.5,397,10,14,9.9
"Paul Lake",1991,189,1991-07-08,5.5,462,16,7.4,0.9
"Paul Lake",1991,189,1991-07-08,8,1229,50,5.4,0
"Peter Lake",1991,190,1991-07-09,0,266,5,22.6,7.4
"Peter Lake",1991,190,1991-07-09,1.1,287,11,NA,NA
"Peter Lake",1991,190,1991-07-09,2,323,7,22.6,7.2
"Peter Lake",1991,190,1991-07-09,3.5,400,7,17.9,10.8
"Peter Lake",1991,190,1991-07-09,4.9,367,8,NA,NA
"Peter Lake",1991,190,1991-07-09,7.5,405,16,NA,NA
"Peter Lake",1991,190,1991-07-09,12,575,25,4.5,0
"East Long Lake",1991,191,1991-07-10,0,405,15,22.5,7
"East Long Lake",1991,191,1991-07-10,0.3,445,14,NA,NA
"East Long Lake",1991,191,1991-07-10,0.7,392,19,NA,NA
"East Long Lake",1991,191,1991-07-10,1.2,470,11,NA,NA
"East Long Lake",1991,191,1991-07-10,1.6,390,10,NA,NA
"East Long Lake",1991,191,1991-07-10,2.7,431,14,NA,NA
"East Long Lake",1991,191,1991-07-10,12,1109,77,4.4,0
"West Long Lake",1991,192,1991-07-11,0,430,20,23.2,7
"West Long Lake",1991,192,1991-07-11,0.4,440,12,NA,NA
"West Long Lake",1991,192,1991-07-11,0.75,445,12,NA,NA
"West Long Lake",1991,192,1991-07-11,1.4,521,16,NA,NA
"West Long Lake",1991,192,1991-07-11,1.9,390,15,NA,NA
"West Long Lake",1991,192,1991-07-11,2.9,459,18,NA,NA
"West Long Lake",1991,192,1991-07-11,12,546,40,5.1,0
"Tuesday Lake",1991,193,1991-07-12,0.433,339,12,NA,NA
"Tuesday Lake",1991,193,1991-07-12,12,913,32,NA,NA
"Paul Lake",1991,196,1991-07-15,0,436,9,23.1,6.2
"Paul Lake",1991,196,1991-07-15,0.7,443,11,NA,NA
"Paul Lake",1991,196,1991-07-15,1.6,431,14,NA,NA
"Paul Lake",1991,196,1991-07-15,2.5,403,10,22,6.3
"Paul Lake",1991,196,1991-07-15,3.5,436,NA,15.6,9.6
"Paul Lake",1991,196,1991-07-15,5.5,386,20,8,2.9
"Paul Lake",1991,196,1991-07-15,8,1601,52,5.4,0
"Peter Lake",1991,197,1991-07-16,0,490,9,23.7,6.7
"Peter Lake",1991,197,1991-07-16,1,416,6,23.6,6.8
"Peter Lake",1991,197,1991-07-16,2,399,9,23.5,6.4
"Peter Lake",1991,197,1991-07-16,3.5,438,9,19.5,10.7
"Peter Lake",1991,197,1991-07-16,4.5,363,6,13.3,12
"Peter Lake",1991,197,1991-07-16,7.25,426,18,NA,NA
"Peter Lake",1991,197,1991-07-16,12,684,26,4.5,0
"East Long Lake",1991,198,1991-07-17,0,599,10,24.8,6.4
"East Long Lake",1991,198,1991-07-17,0.35,559,16,NA,NA
"East Long Lake",1991,198,1991-07-17,0.65,555,14,NA,NA
"East Long Lake",1991,198,1991-07-17,1.75,598,16,NA,NA
"East Long Lake",1991,198,1991-07-17,2.25,610,12,NA,NA
"East Long Lake",1991,198,1991-07-17,3,517,13,14.5,5.2
"East Long Lake",1991,198,1991-07-17,12,1115,63,4.5,0
"West Long Lake",1991,199,1991-07-18,0,542,6,25.7,6.5
"West Long Lake",1991,199,1991-07-18,0.37,536,12,NA,NA
"West Long Lake",1991,199,1991-07-18,0.75,508,9,NA,NA
"West Long Lake",1991,199,1991-07-18,1.35,554,11,NA,NA
"West Long Lake",1991,199,1991-07-18,1.85,579,10,NA,NA
"West Long Lake",1991,199,1991-07-18,3,530,14,16.2,2.6
"West Long Lake",1991,199,1991-07-18,12,736,38,5.2,0
"Tuesday Lake",1991,200,1991-07-19,0.5,530,7,25.7,6.2
"Tuesday Lake",1991,200,1991-07-19,12,888,27,4,0
"Paul Lake",1991,203,1991-07-22,0,431,6,25.5,5.9
"Paul Lake",1991,203,1991-07-22,0.75,401,8,NA,NA
"Paul Lake",1991,203,1991-07-22,1.5,462,7,25.5,5.8
"Paul Lake",1991,203,1991-07-22,2.6,384,10,NA,NA
"Paul Lake",1991,203,1991-07-22,3.8,414,10,NA,NA
"Paul Lake",1991,203,1991-07-22,5.8,556,19,NA,NA
"Paul Lake",1991,203,1991-07-22,8,1266,39,5.5,0
"Peter Lake",1991,204,1991-07-23,0,364,7,24.6,6.5
"Peter Lake",1991,204,1991-07-23,1,389,8,24.6,6.6
"Peter Lake",1991,204,1991-07-23,2,336,9,24.5,6.6
"Peter Lake",1991,204,1991-07-23,3.5,336,8,20.6,9.7
"Peter Lake",1991,204,1991-07-23,4.9,357,8,NA,NA
"Peter Lake",1991,204,1991-07-23,7.75,391,13,NA,NA
"Peter Lake",1991,204,1991-07-23,12,775,25,4.5,0
"East Long Lake",1991,205,1991-07-24,0,523,13,22.8,6.2
"East Long Lake",1991,205,1991-07-24,0.35,494,13,NA,NA
"East Long Lake",1991,205,1991-07-24,0.65,503,13,NA,NA
"East Long Lake",1991,205,1991-07-24,1.3,484,14,NA,NA
"East Long Lake",1991,205,1991-07-24,1.65,462,12,NA,NA
"East Long Lake",1991,205,1991-07-24,3.15,418,11,NA,NA
"East Long Lake",1991,205,1991-07-24,12,1131,74,4.5,0
"West Long Lake",1991,206,1991-07-25,0,530,13,22,6
"West Long Lake",1991,206,1991-07-25,0.35,485,14,NA,NA
"West Long Lake",1991,206,1991-07-25,0.75,358,13,NA,NA
"West Long Lake",1991,206,1991-07-25,1.4,429,12,NA,NA
"West Long Lake",1991,206,1991-07-25,1.9,469,11,NA,NA
"West Long Lake",1991,206,1991-07-25,3.2,489,11,NA,NA
"West Long Lake",1991,206,1991-07-25,12,687,50,5.2,0
"Tuesday Lake",1991,207,1991-07-26,0.433,481,10,NA,NA
"Tuesday Lake",1991,207,1991-07-26,12,883,24,4.1,0
"Paul Lake",1991,210,1991-07-29,0,442,9,19.6,6.5
"Paul Lake",1991,210,1991-07-29,0.5,404,18,19.7,6.5
"Paul Lake",1991,210,1991-07-29,1.2,329,12,NA,NA
"Paul Lake",1991,210,1991-07-29,2.4,317,9,NA,NA
"Paul Lake",1991,210,1991-07-29,3.4,381,12,NA,NA
"Paul Lake",1991,210,1991-07-29,5.8,452,23,NA,NA
"Paul Lake",1991,210,1991-07-29,8,1141,63,5.7,0.2
"Peter Lake",1991,211,1991-07-30,0,368,22,20.2,7.3
"Peter Lake",1991,211,1991-07-30,0.9,373,11,NA,NA
"Peter Lake",1991,211,1991-07-30,2,333,11,19.9,7.2
"Peter Lake",1991,211,1991-07-30,3.4,325,7,NA,NA
"Peter Lake",1991,211,1991-07-30,4.5,344,11,15.2,11
"Peter Lake",1991,211,1991-07-30,7.5,342,19,NA,NA
"Peter Lake",1991,211,1991-07-30,12,754,41,4.5,0.1
"East Long Lake",1991,212,1991-07-31,0,580,8,20.5,6.9
"East Long Lake",1991,212,1991-07-31,0.35,440,11,NA,NA
"East Long Lake",1991,212,1991-07-31,0.6,401,10,NA,NA
"East Long Lake",1991,212,1991-07-31,1.2,387,12,NA,NA
"East Long Lake",1991,212,1991-07-31,1.7,389,10,NA,NA
"East Long Lake",1991,212,1991-07-31,2.8,356,10,NA,NA
"East Long Lake",1991,212,1991-07-31,12,1065,83,4.5,0
"West Long Lake",1991,213,1991-08-01,0,457,14,21.2,6.9
"West Long Lake",1991,213,1991-08-01,0.3,423,10,NA,NA
"West Long Lake",1991,213,1991-08-01,0.75,400,8,NA,NA
"West Long Lake",1991,213,1991-08-01,1.35,438,11,NA,NA
"West Long Lake",1991,213,1991-08-01,1.8,414,13,NA,NA
"West Long Lake",1991,213,1991-08-01,3,388,13,16.7,0.6
"West Long Lake",1991,213,1991-08-01,12,633,59,5.3,0
"Tuesday Lake",1991,214,1991-08-02,0.4,423,9,NA,NA
"Tuesday Lake",1991,214,1991-08-02,12,972,29,4.1,0
"Paul Lake",1991,217,1991-08-05,0,380,11,20,6.9
"Paul Lake",1991,217,1991-08-05,0.7,388,15,NA,NA
"Paul Lake",1991,217,1991-08-05,1.5,343,13,19.9,6.9
"Paul Lake",1991,217,1991-08-05,2.5,321,11,19.8,6.8
"Paul Lake",1991,217,1991-08-05,3.4,352,22,NA,NA
"Paul Lake",1991,217,1991-08-05,5.6,367,22,NA,NA
"Paul Lake",1991,217,1991-08-05,8,1235,55,5.6,0
"Peter Lake",1991,218,1991-08-06,0,288,10,20.9,6.9
"Peter Lake",1991,218,1991-08-06,1,289,8,21,6.8
"Peter Lake",1991,218,1991-08-06,2,271,9,21,7
"Peter Lake",1991,218,1991-08-06,3.6,296,9,NA,NA
"Peter Lake",1991,218,1991-08-06,5,274,10,13.1,11.2
"Peter Lake",1991,218,1991-08-06,8,317,18,5.9,1.7
"Peter Lake",1991,218,1991-08-06,12,703,35,4.5,0.1
"East Long Lake",1991,219,1991-08-07,0,440,15,20.3,6.7
"East Long Lake",1991,219,1991-08-07,0.37,2026,16,NA,NA
"East Long Lake",1991,219,1991-08-07,0.75,412,22,NA,NA
"East Long Lake",1991,219,1991-08-07,1.5,418,14,20.3,6.5
"East Long Lake",1991,219,1991-08-07,2,411,15,20.1,6.2
"East Long Lake",1991,219,1991-08-07,3.4,356,11,NA,NA
"East Long Lake",1991,219,1991-08-07,12,967,82,4.6,0
"West Long Lake",1991,220,1991-08-08,0,472,14,20.6,6.9
"West Long Lake",1991,220,1991-08-08,0.4,514,13,NA,NA
"West Long Lake",1991,220,1991-08-08,0.95,498,13,NA,NA
"West Long Lake",1991,220,1991-08-08,1.5,472,10,20.4,6.9
"West Long Lake",1991,220,1991-08-08,2.1,459,12,NA,NA
"West Long Lake",1991,220,1991-08-08,3.2,441,22,NA,NA
"West Long Lake",1991,220,1991-08-08,12,652,46,5.4,0
"Tuesday Lake",1991,221,1991-08-09,0.433,385,10,NA,NA
"Tuesday Lake",1991,221,1991-08-09,12,998,36,4.1,0
"Paul Lake",1991,224,1991-08-12,0,383,7,22,6.7
"Paul Lake",1991,224,1991-08-12,0.65,388,10,NA,NA
"Paul Lake",1991,224,1991-08-12,1.5,362,13,21.9,6.8
"Paul Lake",1991,224,1991-08-12,2.5,329,10,21.3,6.4
"Paul Lake",1991,224,1991-08-12,3.4,349,10,NA,NA
"Paul Lake",1991,224,1991-08-12,5.5,419,15,9.2,2
"Paul Lake",1991,224,1991-08-12,8,1273,43,5.6,0.1
"Peter Lake",1991,225,1991-08-13,0,317,12,22.6,7.2
"Peter Lake",1991,225,1991-08-13,1.3,312,10,NA,NA
"Peter Lake",1991,225,1991-08-13,2.4,345,8,NA,NA
"Peter Lake",1991,225,1991-08-13,4,326,11,19.1,8.6
"Peter Lake",1991,225,1991-08-13,5,354,10,13.4,11.4
"Peter Lake",1991,225,1991-08-13,7.4,402,15,NA,NA
"Peter Lake",1991,225,1991-08-13,12,946,38,4.6,0.1
"East Long Lake",1991,226,1991-08-14,0,442,15,23.5,6.6
"East Long Lake",1991,226,1991-08-14,0.4,437,11,NA,NA
"East Long Lake",1991,226,1991-08-14,0.85,424,12,NA,NA
"East Long Lake",1991,226,1991-08-14,1.4,397,17,NA,NA
"East Long Lake",1991,226,1991-08-14,1.9,399,16,NA,NA
"East Long Lake",1991,226,1991-08-14,3.1,376,15,NA,NA
"East Long Lake",1991,226,1991-08-14,12,1135,74,4.6,0.1
"West Long Lake",1991,227,1991-08-15,0,498,10,23.5,6.8
"West Long Lake",1991,227,1991-08-15,0.35,333,16,NA,NA
"West Long Lake",1991,227,1991-08-15,0.85,466,11,NA,NA
"West Long Lake",1991,227,1991-08-15,1.5,444,16,22.6,6.8
"West Long Lake",1991,227,1991-08-15,2,418,11,21.1,6.2
"West Long Lake",1991,227,1991-08-15,3.25,419,15,NA,NA
"West Long Lake",1991,227,1991-08-15,12,716,45,5.4,0
"Tuesday Lake",1991,228,1991-08-16,0.5,478,8,23.9,6.3
"Tuesday Lake",1991,228,1991-08-16,12,937,34,4.1,0
"Paul Lake",1991,231,1991-08-19,0,415,8,21.1,6.6
"Paul Lake",1991,231,1991-08-19,0.9,383,11,NA,NA
"Paul Lake",1991,231,1991-08-19,1.6,387,10,NA,NA
"Paul Lake",1991,231,1991-08-19,2.6,349,11,NA,NA
"Paul Lake",1991,231,1991-08-19,3.4,325,13,NA,NA
"Paul Lake",1991,231,1991-08-19,5.2,381,18,NA,NA
"Paul Lake",1991,231,1991-08-19,8,1217,48,5.7,0.1
"Peter Lake",1991,232,1991-08-20,0,280,12,21.6,7.1
"Peter Lake",1991,232,1991-08-20,1,267,10,21.7,6.9
"Peter Lake",1991,232,1991-08-20,2,303,9,21.6,7
"Peter Lake",1991,232,1991-08-20,3.4,317,11,NA,NA
"Peter Lake",1991,232,1991-08-20,4.5,295,11,17.5,10.6
"Peter Lake",1991,232,1991-08-20,7.3,306,16,NA,NA
"Peter Lake",1991,232,1991-08-20,12,723,36,4.6,0.1
"East Long Lake",1991,233,1991-08-21,0,518,10,20.9,6.7
"East Long Lake",1991,233,1991-08-21,0.35,489,11,NA,NA
"East Long Lake",1991,233,1991-08-21,0.75,489,12,NA,NA
"East Long Lake",1991,233,1991-08-21,1.4,433,11,NA,NA
"East Long Lake",1991,233,1991-08-21,1.8,499,14,NA,NA
"East Long Lake",1991,233,1991-08-21,3,342,9,15.4,4.7
"East Long Lake",1991,233,1991-08-21,12,1130,65,4.6,0
"West Long Lake",1991,234,1991-08-22,0,459,8,21.3,6.6
"West Long Lake",1991,234,1991-08-22,0.45,460,11,NA,NA
"West Long Lake",1991,234,1991-08-22,0.9,429,18,NA,NA
"West Long Lake",1991,234,1991-08-22,1.5,547,11,21.2,6.7
"West Long Lake",1991,234,1991-08-22,2,379,24,20.9,6.3
"West Long Lake",1991,234,1991-08-22,3.2,348,11,NA,NA
