"lakename","year4","daynum","sampledate","depth","tn_ug","tp_ug","nh34","no23","po4","temperature_C","dissolvedOxygen","irradianceWater","irradianceDeck"
"Paul Lake",1991,140,1991-05-20,0,538,25,NA,NA,NA,16.6,8.7,1600,1250
"Paul Lake",1991,140,1991-05-20,0.85,285,14,NA,NA,NA,NA,NA,NA,NA
"Paul Lake",1991,140,1991-05-20,1.75,399,14,NA,NA,NA,NA,NA,NA,NA
"Paul Lake",1991,140,1991-05-20,3,453,14,NA,NA,NA,10.4,11.3,155,1250
"Paul Lake",1991,140,1991-05-20,4,363,13,NA,NA,NA,7.9,11.7,87,1250
"Paul Lake",1991,140,1991-05-20,6,583,37,NA,NA,NA,5.3,1.1,14,1250
"Peter Lake",1991,140,1991-05-20,0,352,11,NA,NA,NA,16.6,9.1,1800,1450
"Peter Lake",1991,140,1991-05-20,1,356,15,NA,NA,NA,16.2,9.1,885,1450
"Peter Lake",1991,140,1991-05-20,2.25,364,28,NA,NA,NA,NA,NA,NA,NA
"Peter Lake",1991,140,1991-05-20,3.5,582,14,NA,NA,NA,9.4,12,190,1450
"Peter Lake",1991,140,1991-05-20,4.65,335,17,NA,NA,NA,NA,NA,NA,NA
"Peter Lake",1991,140,1991-05-20,6.5,352,19,NA,NA,NA,4.9,6.7,19.5,1450
"East Long Lake",1991,142,1991-05-22,0,375,15,NA,NA,NA,19.9,8,205,190
"East Long Lake",1991,142,1991-05-22,0.4,479,12,NA,NA,NA,NA,NA,NA,NA
"East Long Lake",1991,142,1991-05-22,0.75,419,14,NA,NA,NA,NA,NA,59,190
"East Long Lake",1991,142,1991-05-22,1.2,497,16,NA,NA,NA,NA,NA,NA,NA
"East Long Lake",1991,142,1991-05-22,2,434,12,NA,NA,NA,14.6,9.9,9.2,190
"East Long Lake",1991,142,1991-05-22,3.75,394,12,NA,NA,NA,NA,NA,NA,NA
"West Long Lake",1991,142,1991-05-22,0,471,12,NA,NA,NA,20.2,8.1,220,220
"West Long Lake",1991,142,1991-05-22,0.4,489,21,NA,NA,NA,NA,NA,NA,NA
"West Long Lake",1991,142,1991-05-22,0.75,466,14,NA,NA,NA,NA,NA,66,220
"West Long Lake",1991,142,1991-05-22,1.5,420,12,NA,NA,NA,18.3,8.5,23,220
"West Long Lake",1991,142,1991-05-22,2.25,404,13,NA,NA,NA,NA,NA,NA,NA
"West Long Lake",1991,142,1991-05-22,4,479,16,NA,NA,NA,8,8.8,1.9,220
"Paul Lake",1991,147,1991-05-27,0,483,8,18.981,10.299,8,19.4,7.4,510,445
"Paul Lake",1991,147,1991-05-27,0.65,351,8,13.777,9.198,7,NA,NA,NA,NA
"Paul Lake",1991,147,1991-05-27,1.5,337,9,NA,5.948,12,19,7.2,110,445
"Paul Lake",1991,147,1991-05-27,2.75,327,9,11.328,7.545,8,NA,NA,NA,NA
"Paul Lake",1991,147,1991-05-27,4,346,13,9.98,4.864,NA,8.7,11.4,25,460
"Paul Lake",1991,147,1991-05-27,6,687,32,13.807,9.952,NA,5.7,0.6,4.8,455
"Paul Lake",1991,147,1991-05-27,8,900,45,327.864,13.48,NA,4.9,0.2,NA,NA
"Peter Lake",1991,148,1991-05-28,0,342,23,18.096,6.276,NA,20.6,8,1350,1100
"Peter Lake",1991,148,1991-05-28,0.85,326,13,59.883,5.475,NA,NA,NA,NA,NA
"Peter Lake",1991,148,1991-05-28,1.75,573,17,23.475,9.473,NA,NA,NA,NA,NA
"Peter Lake",1991,148,1991-05-28,3.25,386,11,10.259,7.126,NA,NA,NA,NA,NA
"Peter Lake",1991,148,1991-05-28,4.25,400,12,14.728,7.125,NA,NA,NA,NA,NA
"Peter Lake",1991,148,1991-05-28,6.5,415,16,10.524,7.503,NA,5.1,5.9,12,1100
"Peter Lake",1991,148,1991-05-28,12,660,25,176.581,9.924,NA,4.3,0,NA,NA
"East Long Lake",1991,149,1991-05-29,0,684,15,13.427,5.481,NA,21.1,7.3,750,760
"East Long Lake",1991,149,1991-05-29,0.5,557,11,12.877,6.326,NA,21,7.3,240,500
"East Long Lake",1991,149,1991-05-29,1,538,11,11.121,5.529,NA,20.9,7.4,210,950
"East Long Lake",1991,149,1991-05-29,1.65,553,13,33.048,4.824,NA,NA,NA,NA,NA
"East Long Lake",1991,149,1991-05-29,1.9,693,12,10.588,4.821,NA,NA,NA,NA,NA
"East Long Lake",1991,149,1991-05-29,3.25,474,15,10.191,4.683,NA,NA,NA,NA,NA
"East Long Lake",1991,149,1991-05-29,12,943,42,272.919,12.55,NA,4.3,0,NA,NA
"West Long Lake",1991,150,1991-05-30,0,512,10,38.543,6.284,NA,22.5,7.3,1250,1000
"West Long Lake",1991,150,1991-05-30,0.33,539,18,39.331,6.614,NA,NA,NA,NA,NA
"West Long Lake",1991,150,1991-05-30,0.87,529,11,13.59,6.805,13,NA,NA,NA,NA
"West Long Lake",1991,150,1991-05-30,1.6,481,15,14.137,8.313,8,NA,NA,NA,NA
"West Long Lake",1991,150,1991-05-30,2.2,610,12,31.251,6.665,8,NA,NA,NA,NA
"West Long Lake",1991,150,1991-05-30,3.6,506,11,10.255,3.981,8,NA,NA,NA,NA
"West Long Lake",1991,150,1991-05-30,12,637,26,87.612,7.985,16,4.7,0,NA,NA
"Tuesday Lake",1991,151,1991-05-31,0.5,501,25,NA,NA,NA,21.7,6.9,450,765
"Tuesday Lake",1991,151,1991-05-31,12,380,54,NA,NA,NA,4,0,NA,NA
"Paul Lake",1991,154,1991-06-03,0,512,17,20.736,5.934,4,22.4,6.6,1200,1000
"Paul Lake",1991,154,1991-06-03,0.5,584,8,22.427,4.837,7,22.3,6.5,600,1000
"Paul Lake",1991,154,1991-06-03,1.25,470,17,26.635,4.058,4,NA,NA,NA,NA
"Paul Lake",1991,154,1991-06-03,2.25,587,7,28.013,6.782,7,NA,NA,NA,NA
"Paul Lake",1991,154,1991-06-03,3.4,348,5,33.739,8.959,3,NA,NA,NA,NA
"Paul Lake",1991,154,1991-06-03,5.34,468,20,35.662,6.965,3,NA,NA,NA,NA
"Paul Lake",1991,154,1991-06-03,8,1107,32,375.547,11.143,14,4.9,0,NA,NA
"Peter Lake",1991,155,1991-06-04,0,573,5,21.533,3.818,4,21.2,7.5,1250,1100
"Peter Lake",1991,155,1991-06-04,0.9,436,6,26.292,2.938,7,NA,NA,NA,NA
"Peter Lake",1991,155,1991-06-04,1.75,394,7,NA,3.037,5,NA,NA,NA,NA
"Peter Lake",1991,155,1991-06-04,3.2,342,6,NA,2.225,6,NA,NA,NA,NA
"Peter Lake",1991,155,1991-06-04,4.25,324,5,NA,5.554,6,NA,NA,NA,NA
"Peter Lake",1991,155,1991-06-04,6.75,439,16,NA,2.355,7,NA,NA,NA,NA
"Peter Lake",1991,155,1991-06-04,12,590,19,NA,3.065,8,4.3,0,NA,NA
"East Long Lake",1991,156,1991-06-05,0,579,10,NA,3.571,3,21.1,6.8,1150,1100
"East Long Lake",1991,156,1991-06-05,0.35,599,11,NA,2.891,5,NA,NA,NA,NA
"East Long Lake",1991,156,1991-06-05,0.6,528,12,25.488,3.869,8,NA,NA,NA,NA
"East Long Lake",1991,156,1991-06-05,1,530,11,26.268,2.276,5,20.9,6.6,120,1100
"East Long Lake",1991,156,1991-06-05,1.4,540,9,22.919,3.221,6,NA,NA,NA,NA
"East Long Lake",1991,156,1991-06-05,2.5,497,9,25.393,2.541,7,13.8,9.3,13,1100
"East Long Lake",1991,156,1991-06-05,12,959,42,405.221,3.89,33,4.3,0,NA,NA
"West Long Lake",1991,157,1991-06-06,0,490,4,26.585,2.465,4,21.5,7,1100,1125
"West Long Lake",1991,157,1991-06-06,0.37,418,5,19.338,2.499,4,NA,NA,NA,NA
"West Long Lake",1991,157,1991-06-06,0.87,472,7,18.911,1.914,6,NA,NA,NA,NA
"West Long Lake",1991,157,1991-06-06,1.4,425,6,29.059,2.387,6,NA,NA,NA,NA
"West Long Lake",1991,157,1991-06-06,2,402,8,21.036,2.45,3,18.5,8.4,52,1125
"West Long Lake",1991,157,1991-06-06,3.4,498,10,22.511,2.852,5,NA,NA,NA,NA
"West Long Lake",1991,157,1991-06-06,12,574,26,403.6,2.613,18,4.8,0,NA,NA
"Tuesday Lake",1991,158,1991-06-07,0.667,465,13,18.648,7.724,7,NA,NA,NA,NA
"Tuesday Lake",1991,158,1991-06-07,12,761,26,239.892,17.076,6,4,0,NA,NA
"Paul Lake",1991,161,1991-06-10,0,421,11,20.303,11.381,6,22.6,6.4,180,155
"Paul Lake",1991,161,1991-06-10,0.55,352,14,19.789,10.959,4,NA,NA,NA,NA
"Paul Lake",1991,161,1991-06-10,1.3,407,11,16.359,10.925,5,NA,NA,NA,NA
"Paul Lake",1991,161,1991-06-10,2.25,299,9,16.193,8.341,1,NA,NA,NA,NA
"Paul Lake",1991,161,1991-06-10,3.4,334,11,15.556,7.687,1,NA,NA,NA,NA
"Paul Lake",1991,161,1991-06-10,5.7,434,21,16.481,9.866,4,NA,NA,NA,NA
"Paul Lake",1991,161,1991-06-10,8,1271,45,623.114,10.82,12,4.9,0,NA,NA
"Peter Lake",1991,162,1991-06-11,0,296,9,14.579,6.827,4,22.4,7.5,850,850
"Peter Lake",1991,162,1991-06-11,1.25,291,9,25.548,6.995,9,NA,NA,NA,NA
"Peter Lake",1991,162,1991-06-11,2.6,308,8,17.633,6.347,5,NA,NA,NA,NA
"Peter Lake",1991,162,1991-06-11,4.1,324,12,23.58,7.371,8,NA,NA,NA,NA
"Peter Lake",1991,162,1991-06-11,5.4,374,16,15.643,6.561,8,NA,NA,NA,NA
"Peter Lake",1991,162,1991-06-11,7.8,376,19,20.372,7.1,11,NA,NA,NA,NA
"Peter Lake",1991,162,1991-06-11,12,676,31,289.687,4.444,18,4.4,0,NA,NA
"East Long Lake",1991,163,1991-06-12,0,470,16,21.366,9.308,15,21.6,6.7,1350,1250
"East Long Lake",1991,163,1991-06-12,0.25,491,18,21.444,8.912,12,NA,NA,700,1250
"East Long Lake",1991,163,1991-06-12,0.6,532,19,23.231,10.419,14,NA,NA,NA,NA
"East Long Lake",1991,163,1991-06-12,1,490,17,21.294,8.049,11,21.5,6.6,145,1250
"East Long Lake",1991,163,1991-06-12,1.45,491,16,22.717,7.617,9,NA,NA,NA,NA
"East Long Lake",1991,163,1991-06-12,2.5,437,17,22.559,8.372,11,14.1,8.1,12.5,1250
"East Long Lake",1991,163,1991-06-12,12,736,NA,351.769,7.833,37,4.3,0,NA,NA
"West Long Lake",1991,164,1991-06-13,0,497,20,24.333,6.376,6,21.7,7.1,910,840
"West Long Lake",1991,164,1991-06-13,0.4,418,14,53.859,9.775,17,NA,NA,NA,NA
"West Long Lake",1991,164,1991-06-13,0.75,462,10,45.745,9.02,14,NA,NA,240,840
"West Long Lake",1991,164,1991-06-13,1.45,473,10,18.963,7.023,4,NA,NA,NA,NA
"West Long Lake",1991,164,1991-06-13,2,476,17,20.821,6.861,8,19.9,8.3,44,840
"West Long Lake",1991,164,1991-06-13,3.4,415,14,20.979,7.671,7,NA,NA,NA,NA
"West Long Lake",1991,164,1991-06-13,12,559,35,125.269,6.753,19,4.8,0,NA,NA
"Tuesday Lake",1991,165,1991-06-14,0.383,491,13,6.763,4.792,9,NA,NA,NA,NA
"Tuesday Lake",1991,165,1991-06-14,12,807,27,163.619,4.855,6,4,0,NA,NA
"Paul Lake",1991,168,1991-06-17,0,474,8,6.441,2.375,5,22.8,6.6,1300,1150
"Paul Lake",1991,168,1991-06-17,0.65,377,10,6.702,2.382,1,NA,NA,NA,NA
"Paul Lake",1991,168,1991-06-17,1.3,411,12,8.1,2.379,2,NA,NA,NA,NA
"Paul Lake",1991,168,1991-06-17,2.4,347,12,5.846,2.727,1,NA,NA,NA,NA
"Paul Lake",1991,168,1991-06-17,3.25,359,12,8.68,3.221,5,NA,NA,NA,NA
"Paul Lake",1991,168,1991-06-17,5.4,446,20,9.153,1.78,0,NA,NA,NA,NA
"Paul Lake",1991,168,1991-06-17,8,1164,39,293.794,3.573,3,5.1,0,NA,NA
"Peter Lake",1991,169,1991-06-18,0,321,8,5.749,2.429,4,23.3,7.4,920,880
"Peter Lake",1991,169,1991-06-18,1,286,10,5.389,1.578,5,23.3,7.3,465,880
"Peter Lake",1991,169,1991-06-18,2,295,15,5.143,1.432,5,23,7.3,240,880
"Peter Lake",1991,169,1991-06-18,3.8,274,7,4.83,1.285,1,NA,NA,NA,NA
"Peter Lake",1991,169,1991-06-18,5.2,269,15,5.548,1.679,2,NA,NA,NA,NA
"Peter Lake",1991,169,1991-06-18,7.6,359,19,4.91,1.784,6,NA,NA,NA,NA
"Peter Lake",1991,169,1991-06-18,12,626,33,147.204,1.981,4,4.4,0,NA,NA
"East Long Lake",1991,170,1991-06-19,0,480,19,7.02,2.877,4,23.2,6.6,1200,1000
"East Long Lake",1991,170,1991-06-19,0.3,503,18,5.818,2.479,0,NA,NA,NA,NA
"East Long Lake",1991,170,1991-06-19,0.65,480,18,6.232,2.475,7,NA,NA,NA,NA
"East Long Lake",1991,170,1991-06-19,1.1,430,17,6.63,2.773,3,NA,NA,NA,NA
"East Long Lake",1991,170,1991-06-19,1.45,448,18,6.266,1.972,NA,NA,NA,NA,NA
"East Long Lake",1991,170,1991-06-19,2.6,393,17,6.092,1.323,3,NA,NA,NA,NA
"East Long Lake",1991,170,1991-06-19,12,919,71,228.23,2.521,1,4.3,0,NA,NA
"West Long Lake",1991,171,1991-06-20,0,454,16,5.4,1.817,3,23.5,6.9,210,215
"West Long Lake",1991,171,1991-06-20,0.35,403,15,5.874,1.666,3,NA,NA,NA,NA
"West Long Lake",1991,171,1991-06-20,0.75,474,19,4.756,2.421,0,NA,NA,57,215
"West Long Lake",1991,171,1991-06-20,1.4,423,15,7.895,2.513,3,NA,NA,NA,NA
"West Long Lake",1991,171,1991-06-20,1.9,424,15,4.901,1.721,3,NA,NA,NA,NA
"West Long Lake",1991,171,1991-06-20,3.5,386,13,5.597,2.521,1,10.4,5.9,2.1,215
"West Long Lake",1991,171,1991-06-20,12,534,36,70.652,3.167,3,4.9,0,NA,NA
"Tuesday Lake",1991,172,1991-06-21,0.383,450,15,15.777,3.657,5,NA,NA,NA,NA
"Tuesday Lake",1991,172,1991-06-21,12,802,27,320.618,4.133,9,4,0,NA,NA
"Paul Lake",1991,175,1991-06-24,0,400,9,19.559,1.55,4,21.1,7.4,1550,1250
"Paul Lake",1991,175,1991-06-24,0.8,495,10,10.671,1.785,3,NA,NA,NA,NA
"Paul Lake",1991,175,1991-06-24,1.5,437,11,7.505,1.662,3,20.8,7,225,750
"Paul Lake",1991,175,1991-06-24,2.6,368,11,8.203,1.021,3,NA,NA,NA,NA
"Paul Lake",1991,175,1991-06-24,3.6,346,12,10.322,1.542,2,NA,NA,NA,NA
"Paul Lake",1991,175,1991-06-24,5.5,458,33,12.335,1.948,4,7,3.2,7.5,660
"Paul Lake",1991,175,1991-06-24,8,1287,75,595.08,2.517,12,5,0,NA,NA
"Peter Lake",1991,176,1991-06-25,0,292,4,5.817,1.51,4,21.9,7.9,1175,1050
"Peter Lake",1991,176,1991-06-25,1,304,7,8.633,1.267,3,21.9,7.8,590,1150
"Peter Lake",1991,176,1991-06-25,1.9,317,6,8.114,1.628,3,NA,NA,NA,NA
"Peter Lake",1991,176,1991-06-25,3.4,312,8,6.502,1.868,3,NA,NA,NA,NA
"Peter Lake",1991,176,1991-06-25,4.7,334,11,7.391,1.588,3,NA,NA,NA,NA
"Peter Lake",1991,176,1991-06-25,7.4,336,17,9.925,1.587,4,NA,NA,NA,NA
"Peter Lake",1991,176,1991-06-25,12,593,25,178.713,1.548,6,4.4,0,NA,NA
"East Long Lake",1991,177,1991-06-26,0,514,17,15.947,2.442,6,23.4,7.2,1100,915
"East Long Lake",1991,177,1991-06-26,0.35,503,18,15.955,2.56,5,NA,NA,NA,NA
"East Long Lake",1991,177,1991-06-26,0.65,496,16,14.551,1.836,4,NA,NA,NA,NA
"East Long Lake",1991,177,1991-06-26,1.1,440,15,13.22,3.246,4,NA,NA,NA,NA
"East Long Lake",1991,177,1991-06-26,1.6,457,15,17.698,2.843,5,NA,NA,NA,NA
"East Long Lake",1991,177,1991-06-26,2.9,370,12,15.947,2.159,3,NA,NA,NA,NA
"East Long Lake",1991,177,1991-06-26,12,822,58,414.203,3.654,22,4.4,0,NA,NA
"West Long Lake",1991,178,1991-06-27,0,523,11,24.45,3.249,3,24.5,6.8,840,660
"West Long Lake",1991,178,1991-06-27,0.4,508,5,22.512,2.439,3,NA,NA,NA,NA
"West Long Lake",1991,178,1991-06-27,0.75,474,10,15.079,2.512,3,NA,NA,280,900
"West Long Lake",1991,178,1991-06-27,1.4,518,13,14.194,2.389,4,NA,NA,NA,NA
"West Long Lake",1991,178,1991-06-27,1.9,468,14,19.023,2.878,4,NA,NA,NA,NA
"West Long Lake",1991,178,1991-06-27,3.4,368,17,15.257,1.628,4,NA,NA,NA,NA
"West Long Lake",1991,178,1991-06-27,12,554,38,165.332,2.389,15,5,0,NA,NA
"Tuesday Lake",1991,179,1991-06-28,0.417,524,10,25.225,10.725,7,NA,NA,NA,NA
"Tuesday Lake",1991,179,1991-06-28,12,857,25,319.891,4.169,6,4,0,NA,NA
"Paul Lake",1991,182,1991-07-01,0,506,9,21.958,11.954,7,21.4,6.4,115,115
"Paul Lake",1991,182,1991-07-01,0.8,560,12,22.046,10.833,2,NA,NA,NA,NA
"Paul Lake",1991,182,1991-07-01,1.6,503,12,25.922,11.346,8,NA,NA,NA,NA
"Paul Lake",1991,182,1991-07-01,2.5,504,13,21.183,8.509,6,19.8,7.3,12,115
"Paul Lake",1991,182,1991-07-01,3.8,398,12,12.291,4.733,5,NA,NA,NA,NA
"Paul Lake",1991,182,1991-07-01,5.7,535,39,12.697,2.337,9,NA,NA,NA,NA
"Paul Lake",1991,182,1991-07-01,8,1033,44,370.188,4.726,5,5.3,0.1,NA,NA
"Peter Lake",1991,183,1991-07-02,0,346,10,12.448,2.742,7,21.3,7.6,720,550
"Peter Lake",1991,183,1991-07-02,0.8,352,9,5.674,2.084,9,NA,NA,NA,NA
"Peter Lake",1991,183,1991-07-02,1.75,395,10,7.049,2.131,5,NA,NA,NA,NA
"Peter Lake",1991,183,1991-07-02,3.4,298,14,7.132,2.489,1,NA,NA,NA,NA
"Peter Lake",1991,183,1991-07-02,4.5,300,NA,6.378,1.361,6,11.9,11.7,27,440
"Peter Lake",1991,183,1991-07-02,7,385,18,6.809,2.243,2,5.8,4.9,15,1200
"Peter Lake",1991,183,1991-07-02,12,592,28,142.336,1.574,4,4.5,0,NA,NA
"East Long Lake",1991,184,1991-07-03,0,538,14,14.687,4.295,5,21.2,7.1,450,445
"East Long Lake",1991,184,1991-07-03,0.3,454,12,8.638,3.605,2,NA,NA,NA,NA
"East Long Lake",1991,184,1991-07-03,0.6,429,19,11.433,3.366,2,NA,NA,NA,NA
"East Long Lake",1991,184,1991-07-03,1.2,419,15,10.667,3.446,8,NA,NA,NA,NA
"East Long Lake",1991,184,1991-07-03,1.5,450,15,12.321,3.691,2,21,6.9,22,445
"East Long Lake",1991,184,1991-07-03,2.6,400,15,9.616,3.326,7,NA,NA,NA,NA
"East Long Lake",1991,184,1991-07-03,12,927,58,407.009,4.428,23,4.4,0,NA,NA
"West Long Lake",1991,185,1991-07-04,0,489,16,18.946,7.886,12,21.4,7.1,640,500
"West Long Lake",1991,185,1991-07-04,0.4,511,9,11.994,3.373,4,NA,NA,NA,NA
"West Long Lake",1991,185,1991-07-04,0.75,539,11,14.529,3.3,2,NA,NA,130,380
"West Long Lake",1991,185,1991-07-04,1.4,514,8,11.756,3.306,3,NA,NA,NA,NA
"West Long Lake",1991,185,1991-07-04,1.9,541,14,13.236,3.313,2,NA,NA,NA,NA
"West Long Lake",1991,185,1991-07-04,3.1,469,10,32.815,3.997,4,NA,NA,NA,NA
"West Long Lake",1991,185,1991-07-04,12,661,33,161.241,3.353,15,5,0,NA,NA
"Tuesday Lake",1991,186,1991-07-05,0.3,497,12,15.82,3.595,2,NA,NA,NA,NA
"Tuesday Lake",1991,186,1991-07-05,12,870,27,299.954,5.874,11,4,0,NA,NA
"Paul Lake",1991,189,1991-07-08,0,341,11,18.406,5.232,3,22.4,6.4,850,740
"Paul Lake",1991,189,1991-07-08,0.75,522,14,17.224,2.681,4,NA,NA,390,680
"Paul Lake",1991,189,1991-07-08,1.4,416,11,13.084,2.309,1,NA,NA,NA,NA
"Paul Lake",1991,189,1991-07-08,2.5,402,18,14.895,2.625,3,20.6,6.5,68,640
"Paul Lake",1991,189,1991-07-08,3.5,397,10,13.108,1.967,0,14,9.9,36,630
"Paul Lake",1991,189,1991-07-08,5.5,462,16,10.744,1.31,3,7.4,0.9,7.4,630
"Paul Lake",1991,189,1991-07-08,8,1229,50,484.249,2.228,7,5.4,0,NA,NA
"Peter Lake",1991,190,1991-07-09,0,266,5,9.495,8.907,12,22.6,7.4,520,450
"Peter Lake",1991,190,1991-07-09,1.1,287,11,6.417,2.148,4,NA,NA,NA,NA
"Peter Lake",1991,190,1991-07-09,2,323,7,7.817,5.086,9,22.6,7.2,150,560
"Peter Lake",1991,190,1991-07-09,3.5,400,7,8.517,1.832,4,17.9,10.8,58,480
"Peter Lake",1991,190,1991-07-09,4.9,367,8,5.562,1.299,2,NA,NA,NA,NA
"Peter Lake",1991,190,1991-07-09,7.5,405,16,7.573,1.832,3,NA,NA,NA,NA
"Peter Lake",1991,190,1991-07-09,12,575,25,84.26,2.524,9,4.5,0,NA,NA
"East Long Lake",1991,191,1991-07-10,0,405,15,13.776,3.102,2,22.5,7,1250,1100
"East Long Lake",1991,191,1991-07-10,0.3,445,14,16.484,5.643,8,NA,NA,NA,NA
"East Long Lake",1991,191,1991-07-10,0.7,392,19,12.195,3.092,5,NA,NA,NA,NA
"East Long Lake",1991,191,1991-07-10,1.2,470,11,11.373,2.329,2,NA,NA,NA,NA
"East Long Lake",1991,191,1991-07-10,1.6,390,10,14.749,3.749,5,NA,NA,NA,NA
"East Long Lake",1991,191,1991-07-10,2.7,431,14,12.926,2.298,2,NA,NA,NA,NA
"East Long Lake",1991,191,1991-07-10,12,1109,77,522.206,4.045,27,4.4,0,NA,NA
"West Long Lake",1991,192,1991-07-11,0,430,20,14.614,2.719,2,23.2,7,1225,1150
"West Long Lake",1991,192,1991-07-11,0.4,440,12,16.806,2.663,3,NA,NA,NA,NA
"West Long Lake",1991,192,1991-07-11,0.75,445,12,12.617,2.392,5,NA,NA,320,1150
"West Long Lake",1991,192,1991-07-11,1.4,521,16,17.348,2.879,0,NA,NA,NA,NA
"West Long Lake",1991,192,1991-07-11,1.9,390,15,17.791,2.517,2,NA,NA,NA,NA
"West Long Lake",1991,192,1991-07-11,2.9,459,18,11.095,1.576,1,NA,NA,NA,NA
"West Long Lake",1991,192,1991-07-11,12,546,40,165.922,3.606,27,5.1,0,NA,NA
"Tuesday Lake",1991,193,1991-07-12,0.433,339,12,19.144,4.411,5,NA,NA,NA,NA
"Tuesday Lake",1991,193,1991-07-12,12,913,32,373.116,5.141,17,NA,NA,NA,NA
"Paul Lake",1991,196,1991-07-15,0,436,9,21.606,3.5,3,23.1,6.2,1350,1150
"Paul Lake",1991,196,1991-07-15,0.7,443,11,17.695,2.71,1,NA,NA,NA,NA
"Paul Lake",1991,196,1991-07-15,1.6,431,14,19.386,3.313,5,NA,NA,NA,NA
"Paul Lake",1991,196,1991-07-15,2.5,403,10,20.869,2.117,3,22,6.3,130,1150
"Paul Lake",1991,196,1991-07-15,3.5,436,NA,15.761,2.021,2,15.6,9.6,64,1150
"Paul Lake",1991,196,1991-07-15,5.5,386,20,17.114,2.061,4,8,2.9,13,1150
"Paul Lake",1991,196,1991-07-15,8,1601,52,734.644,4.701,22,5.4,0,NA,NA
"Peter Lake",1991,197,1991-07-16,0,490,9,24.334,5.071,4,23.7,6.7,1270,910
"Peter Lake",1991,197,1991-07-16,1,416,6,16.377,2.081,3,23.6,6.8,665,920
"Peter Lake",1991,197,1991-07-16,2,399,9,14.863,2.766,3,23.5,6.4,340,920
"Peter Lake",1991,197,1991-07-16,3.5,438,9,15.141,1.863,4,19.5,10.7,120,920
"Peter Lake",1991,197,1991-07-16,4.5,363,6,8.937,2.082,3,13.3,12,75,1200
"Peter Lake",1991,197,1991-07-16,7.25,426,18,14.206,2.543,4,NA,NA,NA,NA
"Peter Lake",1991,197,1991-07-16,12,684,26,126.203,2.35,6,4.5,0,NA,NA
"East Long Lake",1991,198,1991-07-17,0,599,10,23.377,4.245,4,24.8,6.4,1200,1110
"East Long Lake",1991,198,1991-07-17,0.35,559,16,17.703,3.607,3,NA,NA,NA,NA
"East Long Lake",1991,198,1991-07-17,0.65,555,14,21.221,3.794,3,NA,NA,NA,NA
"East Long Lake",1991,198,1991-07-17,1.75,598,16,17.657,3.064,3,NA,NA,NA,NA
"East Long Lake",1991,198,1991-07-17,2.25,610,12,19.278,4.265,4,NA,NA,NA,NA
"East Long Lake",1991,198,1991-07-17,3,517,13,16.797,3.849,4,14.5,5.2,12,1110
"East Long Lake",1991,198,1991-07-17,12,1115,63,483.583,3.388,31,4.5,0,NA,NA
"West Long Lake",1991,199,1991-07-18,0,542,6,17.852,3.95,4,25.7,6.5,410,390
"West Long Lake",1991,199,1991-07-18,0.37,536,12,15.758,3.251,4,NA,NA,NA,NA
"West Long Lake",1991,199,1991-07-18,0.75,508,9,18.802,2.886,2,NA,NA,108,390
"West Long Lake",1991,199,1991-07-18,1.35,554,11,13.385,3.657,3,NA,NA,NA,NA
"West Long Lake",1991,199,1991-07-18,1.85,579,10,14.756,3.383,2,NA,NA,NA,NA
"West Long Lake",1991,199,1991-07-18,3,530,14,13.514,2.557,4,16.2,2.6,4.1,390
"West Long Lake",1991,199,1991-07-18,12,736,38,211.501,3.145,28,5.2,0,NA,NA
"Tuesday Lake",1991,200,1991-07-19,0.5,530,7,12.948,4.318,4,25.7,6.2,565,1100
"Tuesday Lake",1991,200,1991-07-19,12,888,27,373.452,3.488,7,4,0,NA,NA
"Paul Lake",1991,203,1991-07-22,0,431,6,20.225,3.863,0,25.5,5.9,155,140
"Paul Lake",1991,203,1991-07-22,0.75,401,8,16.109,3.281,0,NA,NA,76,140
"Paul Lake",1991,203,1991-07-22,1.5,462,7,27.08,3.203,1,25.5,5.8,39,140
"Paul Lake",1991,203,1991-07-22,2.6,384,10,20.401,2.847,1,NA,NA,NA,NA
"Paul Lake",1991,203,1991-07-22,3.8,414,10,17.219,2.498,0,NA,NA,NA,NA
"Paul Lake",1991,203,1991-07-22,5.8,556,19,17.379,2.214,1,NA,NA,NA,NA
"Paul Lake",1991,203,1991-07-22,8,1266,39,652.295,4.629,4,5.5,0,NA,NA
"Peter Lake",1991,204,1991-07-23,0,364,7,17.35,3.003,1,24.6,6.5,1390,1180
"Peter Lake",1991,204,1991-07-23,1,389,8,14.343,1.953,3,24.6,6.6,710,1180
"Peter Lake",1991,204,1991-07-23,2,336,9,10.606,1.486,0,24.5,6.6,370,1180
"Peter Lake",1991,204,1991-07-23,3.5,336,8,10.037,2.135,2,20.6,9.7,145,1180
"Peter Lake",1991,204,1991-07-23,4.9,357,8,9.86,2.008,3,NA,NA,NA,NA
"Peter Lake",1991,204,1991-07-23,7.75,391,13,16.473,2.484,3,NA,NA,NA,NA
"Peter Lake",1991,204,1991-07-23,12,775,25,143.523,2.263,2,4.5,0,NA,NA
"East Long Lake",1991,205,1991-07-24,0,523,13,14.443,2.612,2,22.8,6.2,685,640
"East Long Lake",1991,205,1991-07-24,0.35,494,13,11.875,1.983,1,NA,NA,NA,NA
"East Long Lake",1991,205,1991-07-24,0.65,503,13,8.999,1.977,2,NA,NA,NA,NA
